"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"26.","TUMKUR 
(9)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Chikkanaya-
kanahalli","RPM","RCG","NIL","NIL","NIL","Coconut, Ragi, 
Sheep, Goat","27251","NIL","APMC,  
Chikkanayakanahalli."
"2.","Chelur","RSM","NIL","NIL","NIL","NIL","Paddy, Coconut, 
Ragi, Groundnut","NIL","NIL","APMC, Sub Market, 
Chelur, Gubbi Tq."
"3.","Gubbi","RPM","RCG","NIL","Gubbi","1","Paddy, Coconut 
Ragi, Arecanut","22250","NIL","APMC,  Gubbi,       
Tumkur Distt."
"4.","Hosakere","RSM","NIL","NIL","NIL","NIL","Coconut, Veg., 
Sheep, Goat","NIL","NIL","APMC Sub Market, 
Gubbi Tq."
"5.","K.G. Temple","- do -","NIL","NIL","NIL","NIL","Coconut, Banana, 
Maize","NIL","NIL","A.P.M.C., K.G. Temple."
"6.","Kondli Cross","- do -","NIL","NIL","NIL","NIL","Coconut, 
Vegetables","NIL","NIL","A.P.M.C., Kondli Cross."
"7.","M.N. Kote","- do -","NIL","NIL","NIL","NIL","Coconut","NIL","NIL","A.P.M.C., M.N. Kote."
"8.","Nittur","- do -","NIL","NIL","Nittur","3","Coconut, Banana","NIL","NIL","A.P.M.C.,  Nittur."
"9.","Huliyar","RPM","MCG, RCG","NIL","NIL","NIL","Coconut, Copra 
Ragi, Greengram","56042","NIL","APMC,  Huliyar, 
Chikkanayakanahalliu Tq."
