"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"9.","CHIKKAMAGALUR 
(7)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Chikkamagalur","RPM","SWG, SFG, 
CSC","NIL","Kadur","40","Vegetables, 
Coconut, 
Paddy, Jaggery","08262-
20709","NIL","Secretary, A.P.M.C., 
Chikkamagalur."
"2.","Kadur","- do -","SWG, SPG, 
CSC","NIL","- do -","1","Groundnut, Ragi, 
Sunflower, 
Coconut","08267-
21252","NIL","Secretary, A.P.M.C., 
Kadur."
"3.","Koppa","- do -","SPG, CSC","NIL","Shimoga","60","Arecanut, Ginger, 
Paddy, Jowar","08265-
21776","NIL","Secretary, A.P.M.C., 
Koppa."
"4.","Mudigare","- do -","CSC","NIL","Sakaleshapura","35","Paddy, Ragi, 
Pepper, Coconut","08263-
20162","NIL","Secretary, A.P.M.C., 
Mudigare."
"5.","Srinagari","- do -","SFG, CSC","NIL","Shimoga","80","Arecanut, Paddy,","-","NIL","Secretary, A.P.M.C., 
Srinagari."
"6.","Tarikere","- do -","CSC","NIL","Tarikere","1","Arecanut, 
Coconut 
Paddy, Ragi,","08261-
22221","NIL","Secretary, A.P.M.C., 
Tarikere."
"7.","Birur","RSM","- do -","NIL","Birur","1","Arecanut, 
Jowar, Horsegram","55237","NIL","Secretary, A.P.M.C., 
Birur."
