"Name of district and 
wholesale market","","State of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"1.","BANGALORE 
RURAL 
(14)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Channapatna","RPM *","SWG 2 
RCG 2","NIL","Channapatna","4","Coconut","51261","NIL","APMC, Mysore Road, 
Channapatna"
"2.","Desavara","RSM *","NIL","NIL","NIL","NIL","Jaggery, 
Sheep, Goat","NIL","NIL","Gram Panchayat, Desavara."
"3.","Doddamudhawadi","RSM","NIL","NIL","NIL","NIL","Sheep, Goat 
Cattle","NIL","NIL","Gram Panchayat, 
Doddamudhawadi."
"4.","Hunasanahalli","- do -","NIL","NIL","NIL","NIL","Jaggery, 
Sheep, Goat","NIL","NIL","Gram Panchayat, 
Hunasanahalli."
"5.","Kudur","- do -","NIL","NIL","NIL","NIL","Paddy, Ragi","NIL","NIL","Gram Panchayat, Kudur."
"6.","Magadi","- do -","NIL","NIL","NIL","NIL","Ragi, Gingili, Paddy","NIL","NIL","Gram Panchayat, Magadi."
"7.","Ramanagara","- do -","RCG 2","NIL","Ramanagara","3","Coconut, Groundnut, 
All Vegetables & 
Fruits","NIL","NIL","APMC, Sub Market, 
Mysore Road, Ramanagara."
"8.","Devanahalli","- d0 -","NIL","NIL","NIL","NIL","Rice, jaggery, 
Eucalyptus","NIL","NIL","Gram Panchayat, 
Devanahalli."
"9.","Doddaballapur","RPM","RCG 15","NIL","Doddaballapur","2","Rice, Maize, 
Paddy, Ragi","22114","NIL","APMC, Doddaballapur"
"10.","Hosakote","RSM","NIL","NIL","NIL","NIL","Maize, Rice, 
Eucalyptus","10.","NIL","Gram Panchayat, Hosakote."
"11.","Nelamangala","- do -","NIL","NIL","NIL","NIL","Cattle, Sheep, 
Ragi","NIL","NIL","Gram Panchayat, 
Nelamangala."
"12.","Tubagere","- do -","NIL","NIL","NIL","NIL","Maize, Rice, Grams","NIL","NIL","Gram Panchayat, Tubagere."
"13.","Vijayapura","- do -","NIL","NIL","NIL","NIL","- do -","NIL","NIL","Gram Panchayat, 
Vijayapura"
"14.","Kanakapura","RPM","NIL","NIL","NIL","NIL","Coconut, Groundnut, 
Vegetable, Fruits","22362","NIL","APMC, Kanakapura"
