"Name of district and wholesale 
market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"8.","CHAMARAJANAGAR 
(7)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Chamaraja nagar","RPM","SWG, SFG, 
MCG, CSC","NIL","Chamaraja-
nagar","2","Paddy, Jaggery, 
Jowar, Ragi","08226-
22103","NIL","Secretary, A.P.M.C., 
Chamarajanagar."
"2.","Kollegala","- do -","MCG, CSC","NIL","Mysore","65","Paddy, Rice, 
Cotton, Coconut","08228-
22021","NIL","Secretary, A.P.M.C., 
Kollegala."
"3.","Gundlupet","- do -","SFG, CSC, 
SWG","NIL","Chamaraja-
nagar","35","Jowar, 
Vegetables, 
Coconut, Cotton","08229-
27738","NIL","Secretary, A.P.M.C., 
Gundlupet"
"4.","Tarakarambi","RSM","CSC","NIL","- do -","12","NIL","NIL","NIL","Secretary, A.P.M.C., 
Tarakarambi."
"5.","Santhamaralli","- do -","MCG, CSC","NIL","- do -","20","Jaggery, 
Jowar","40185","NIL","Secretary, A.P.M.C., 
Santhamaralli."
"6.","Hanur","- do -","CSC","NIL","NIL","NIL","NIL","38553","NIL","Secretary, A.P.M.C., 
Hanur."
"7.","Vadeyarapalya","- do -","CSC","NIL","NIL","NIL","NIL","NIL","NIL","Secretary, A.P.M.C., 
Vadeyarapalya."
