"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal address"
"57.","PRATAPGARH   
(7)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Antu","RSM","Nil","Nil","Antu","0","Mahua seed, 
Wheat, Rice, Red 
gram","Nil","Nil","Up Mandi Sthal, Antu"
"2.","Kalakankar","- do -","- do -","- do -","Bhadari","15","Paddy, Mangoes, 
Red gram, Mustard","- do -","- do -","Up Mandi Sthal, Kalakankar"
"3.","Kunda","- do -","CSC","- do -","Kunda 
Harnamganj","1","Paddy, Mango, 
Wheat, Rice","- do -","- do -","Up Mandi Sthal, Kunda"
"4.","Majhilgaon","- do -","Nil","- do -","- do -","3","Wheat, Paddy, 
Mustard, Red gram","- do -","- do -","Up Mandi Sthal, Majhilgaon"
"5.","Pratapgarh","RPM","CSC, MCG, 
RCG, SWG","PRC","Pratapgarh","0","Mustard, Wheat, 
Rice, Red gram","05342-
20210","- do -","APMC, Naveen Mandi Sthal, 
Pratapgarh"
"6.","Ramganj","RSM","CSC","Nil","Kunda 
Harnamganj","10","Wheat, Paddy, 
Rice, Red gram","Nil","- do -","Up Mandi Sthal, Ramganj"
"7.","Raniganj","- do -","Nil","- do -","Pratapgarh","45","- do -","- do -","- do -","Up Mandi Sthal, Raniganj"
