"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in the 
market","Tel. 
 No.","Commer-
cial 
gradinyg 
facility","Complete postal address"
"16.","BIJNAUR    
(16)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Bijanur","RPM","Nil","Nil","Bijnaur","1","Jaggery, Wheat, Rice, Gram","Nil","Nil","The Secretary, KUMS, Court 
Rd., Bijnaur"
"2.","Mandavar","RSM","- do -","- do -","- do -","10","Jaggery, Vegetables, Wheat, 
Fruits","- do -","- do -","- do -"
"3.","Chandpur","RPM","MCG","- do -","Chandpur","2","Jaggery, Rice, Wheat","- do -","- do -","The Secretary, KUMS, 
Chandpur, Bijnaur"
"4.","Nurpur","RSM","Nil","- do -","- do -","15","Jaggery, Wheat, Vegetables, Rice","40393","- do -","- do -"
"5.","Dhampur","RPM","- do -","- do -","Dhampur","0.5","Rice, Wheat, Jaggery, Paddy","30040","- do -","The Secretary, KUMS, 
Dhampur, Bijnaur"
"6.","Afjalgarh","RSM","- do -","- do -","- do -","28","Wheat, Paddy, Jaggery, 
Vegetables","Nil","- do -","- do -"
"7.","Nahtaur","- do -","- do -","- do -","- do -","13","Jaggery, Paddy, Vegetables,  Rice","- do -","- do -","The Secretary, KUMS, 
Dhampur, Bijnaur"
"8.","Syohara","- do -","- do -","- do -","- do -","16","Jaggery, Wheat, Paddy, Rice","- do -","- do -","- do -"
"9.","Haldaur","RPM","MCG","- do -","Haldaur","0.5","Paddy, Wheat, Rice, Potato","- do -","- do -","The Secretary, KUMS, 
Haldaur, Bijnaur"
"10.","Kiratpur","- do -","- do -","- do -","Najibabad","17","Jaggery, Rice, Paddy, Potato","- do -","- do -","The Secretary, KUMS, 
Kiratpur, Bijanur"
"11.","Chandak","RSM","Nil","- do -","Chandak","1","Wheat, Rice, Paddy, Potato","- do -","- do -","- do -"
"12.","Nagina","RPM","MCG","- do -","Nagina","0.5","Paddy, Jaggery, Wheat, Rice","50237","- do -","The Secretary, KUMS, 
Nagina, Bijnaur"
"13.","Buddapur","RSM","Nil","- do -","- do -","6","Vegetable, Wheat, Paddy, 
Jaggery","Nil","- do -","- do -"
"14.","Kotwali","- do -","- do -","- do -","- do -","7","Paddy, Vegetables, Wheat, Paddy","- do -","- do -","- do -"
"15.","Najibabad","RPM","MCG","- do -","Najibabad","3","Wheat, Groundnut, Cauliflower, 
Tomato","30269","- do -","The Secretary, KUMS, 
Najibabad"
"16.","Nangal","RSM","Nil","- do -","- do -","10","Wood, Groundnut, Wheat, 
Vegetables","Nil","- do -","- do -"
