"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance    
(km)","Commodities arriving in the 
market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal 
address"
"47.","MAHOBA 
(7)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Charphari","RPM","PSG","Nil","Charphari","8","Peas, Gram, Tobacco, Linseed","66360","Nil","KUMS, Charphari"
"2.","Jaitpur","RSM","SWG, RCG, 
MCG","- do -","Belatal","3","Peas, Gram, Linseed, Red gram","Nil","- do -","KUMS, Jaitpur, 
Mahoba"
"3.","Khaula","- do -","PSG","- do -","Charphari 
Rd.","30","Peas, Gram, Tobacco, Linseed","- do -","- do -","KUMS, Khaula"
"4.","Kulpahar","- do -","- do -","- do -","Kulpahar","2","Peas, Gram, Potato, Linseed","- do -","- do -","KUMS, Kulpahar, 
Charphari"
"5.","Kabrai","- do -","MCG, RCG","- do -","Kabrai","2","Peas, Gram, Potato, Jaggery","- do -","- do -","KUMS, Kabrai"
"6.","Mahoba","- do -","FCG, CWG","- do -","Mahoba","6","Peas, Gram, Potato, Wood","44350","- do -","KUMS,  Mahoba"
"7.","Panwari","RPM","PSG","- do -","Kulpahar","45","Jaggery, Potato, Red gram, 
Linseed","Nil","- do -","KUMS, Panwari"
