"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal address"
"24.","FATEHPUR    
(10)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Amauli","RSM","MCG, RCG","Nil","Bindki 
Road","30","Paddy, Wheat, Gram, 
Jaggery","Nil","Nil","Up Mandi Sthal, Amauli"
"2.","Asolhar","- do -","- do -","- do -","Rasulabad","10","Paddy, Wheat, Gram, 
Mustard","- do -","- do -","Up Mandi Sthal, Asolhar"
"3.","Bakewar","- do -","Nil","- do -","Bindki Rd.","10","Jowar, Wheat, Sunflower, 
Mangoes","- do -","- do -","Up Mandi Sthal, Bakenwar"
"4.","Bindki","RPM","CSC","PRC","- do -","10","Wheat, Mahua, Red gram, 
Wood","05181-
56571","- do -","KUMS, Bindki"
"5.","Fatehpur","- do -","SWG, FCG, 
CSC, MCG,","- do -","Fatehpur","4","Wheat, Potato, Tomato","05180-
24761","- do -","KUMS, Fatehpur"
"6.","Husainganj","RSM","RCG","Nil","- do -","30","Paddy, Wheat, Red gram, 
Mustard","Nil","- do -","Up Mandi Sthal, Husainganj"
"7.","Jahanabad","RPM","SWG, FCG, 
CSC, MCG, 
RCG, CWG","- do -","Bindki Rd.","30","Wheat, Jaggery, Gram, 
Paddy","- do -","- do -","KUMS, Jahanabad"
"8.","Khaga","- do -","CSC","- do -","Khaga","2","Wheat, Potato, Wheat, 
Tomato","- do -","- do -","KUMS, Khaga"
"9.","Kisanpur","- do -","MCG, RCG","- do -","- do -","10","Wheat, Red gram, Rice, 
Wheat","05182-
63224","- do -","KUMS, Kisanpur"
"10.","Thariyaon","RSM","Nil","PRC","Rasulabad","3","Paddy, Wheat, Gram, 
Jaggery","Nil","- do -","Up Mandi Sthal, Thariyaon"
