"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal address"
"9.","BAHRAICH 
(8)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Bahraich","RPM","CWC, CSC, 
FCG, CWG, 
SWG, MCG","PRC","Bahraich","3","Wheat, Paddy, Lentil, Red 
gram","Nil","Yes","KUMS, Bahraich"
"2.","Chaugawan","RSM","PSG","Nil","Babaganj","14","Wheat, Cucumber, Jaggery, 
Potato","- do -","Nil","Sub Mandi Yard, 
Chougawan, C/o KUMS, 
Rupaidiha,"
"3.","Chilwaria","- do -","CSC","- do -","Chiulwaria","1.5","Arhar, Lentil, Wheat, Paddy","- do -","- do -","Sub Mandi Yard, Chilwaria, 
C/o KUMS"
"4.","Motera","- do -","- do -","- do -","Matera","1","Maize, Wheat, Lentil, Red 
gram","05252-
22224","- do -","Sub Mandi Yard, Matera,    
C/o KUMS, Risia"
"5.","Mihinpurwa","RPM","CWC, CSC, 
SWG","PRC","Mihinpurwa","1","Paddy, Wheat, Parval, 
Cucumber","5254- 
44445","- do -","KUMS, Mihinpurawa,"
"6.","Nanpara","- do -","CSC, SWG","- do -","Nanpara","3","Paddy, Wheat, Red gram, 
Lentil","Nil","- do -","KUMS, Nanpur, Bahraich"
"7.","Risia","- do -","CSC","Nil","Risia","1","- do -","5252- 
22224","- do -","KUMS, Risia"
"8.","Rupaidiha","- do -","- do -","- do -","Rupaidiha","0","Wood, Wheat, Jaggery, 
Potato","5253- 
40812","- do -","KUMS, Rupaidiha"
"10.","BALRAMPUR 
(4)","","","","","","","","",""
"1.","Balrampur","RPM","FCG, CSC, 
SWG","PRC","Balrampur","1","Lentil, Paddy, Potato,","05263-
32138","Nil","Krishi Utpadan Mandi 
Samiti, Balrampur"
"2.","Pachperwa","- do -","- do -","Nil","Pachperwa","2","Wood, Paddy, Potato, Lentil","Nil","- do -","Krishi Utpadan Mandi 
Samiti, Pachperwa"
"3.","Tulsipur","- do -","CSC","- do -","Tulispur","1","Wood,  Lentil,  Potato, 
Onion","05264-
44454","- do -","Krishi Utpadan Mandi 
Samiti, Tulsipur"
"4.","Uttaraula","- do -","- do -","- do -","Balrampur","32","Wheat, Paddy, Banana,","05565-","- do -","Krishi Utpadan Mandi"
