"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal address"
"11.","BALLIA    
(10)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Ballia","RPM","CWG, 
MCG, RCG, 
CSC, FCG","PRC","Ballia","3","Wheat, Rice, Gram, Red 
gram","05498-
20852","Nil","Krishi Utpadan Mandi Samiti, 
Ballia"
"2.","Bansdih","RSM","PSG","- do -","Bansdih","9","Parwal, Cauliflower, 
Amchur, Turmeric","Nil","- do -","Sub-Mandi Yard, Bausdih,   
C/o KUMS, Ballia"
"3.","Belthara Rd.","RPM","MCG, RCG, 
CSC","Nil","Belthara Rd.","1","Wheat, Potato, Paddy, Peas","- do -","- do -","Krishi Utpadan Mandi Samiti, 
Belthra Rd"
"4.","Chitabara 
Gaon","- do -","CSC, SWG, 
MCG, RCG, 
CWG","PRC","Chitabara 
Gaon","1","Lentil, Potato, Paddy, 
Onion","- do -","- do -","Krishi Utpadan Mandi Samiti, 
Chitabara Gaon"
"5.","Maniyar","RSM","PSG","- do -","Bansdih","22","Wheat, Potato, Onion, Red 
gram","- do -","- do -","Sub Mandi Yard, Maniyar,  
C/o KUMS, Ballia"
"6.","Raniganj","- do -","CSC","PRC, 
PSC","Suremanpur","2","Wheat, Rice, Lentil, Peas","- do -","- do -","Sub Mandi Yard, Raniganj, 
C/o KUMS, Ballia"
"7.","Rasara","RPM","CSC, SFG","Nil","Rasara","1","Potato, Pumkin, Barley, 
Red gram","05491-
25214","- do -","Krishi Utpadan Mandi Samiti, 
Rasar"
"8.","Rewati","RSM","WBG","- do -","Rewati","3","Peas, Rice, Paddy, Wheat","Nil","- do -","Sub Mandi Yard, Rewati,    
C/o KUMS, Ballia"
"9.","Sahatawar","- do -","WBG, CSC","PRC, 
CSC","Sahatawar","2","Potato, Wood, Wheat, Rice","- do -","- do -","Sub Mandi Yard, Sahatawar, 
C/o KUMS, Ballia"
"10.","Sikandrapur","- do -","CFG","Nil","Bethara Rd.","22","Mustard, Gram, Barley, 
Lentil","- do -","- do -","Sub Mandi Yard, Sikandrapur, 
C/o KUMS, Belthra Rd"
