"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance    
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal address"
"18.","CHANDAULI     
(6)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Baburi","RSM","PSG","Nil","Mughalsarai","15","Paddy, Wheat, 
Wood, Potato","Nil","Nil","Sub Mandi Yard, Baburi,         
C/o KUMS, Chandauli"
"2.","Chakia","- do -","MCG, CSC, 
RCG","- do -","Chandauli","31","- do -","- do -","- do -","Sub Mandi Yard, Chakia,        
C/o KUMS, Chandauli"
"3.","Chandauli","RPM","CSC, FCG","PRC","- do -","1.5","Paddy, Wheat, 
Potato, Jaggery","62179","- do -","KUMS, Chandauli"
"4.","Mughalsarai","RSM","CSC. PSG","- do -","Mughalsarai","0.5","Paddy, Wheat, 
Onion, Potato","Nil","- do -","Sub Mandi Yard, Mughalsarai, 
C/o KUMS, Chandauli"
"5.","Sakaldiha","- do -","PSG","Nil","Sakaldiha","4","Paddy, Wheat, 
Wood, Potato","- do -","- do -","Sub Mandi Yard, Sakuldiha,     
C/o KUMS, Chandauli"
"6.","Saiyadraza","- do -","- do -","- do -","Saiyadraza","0.5","- do -","- do -","- do -","Sub Mandi Yard, Saiyadraza,  
C/o KUMS, Chandauli"
