"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal address"
"12.","BANDA     
(7)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Atarra","RPM","FCG, SWG, 
MCG, RCG","Nil","Atarra","5","Wheat, Paddy, Potato, 
Jaggery","44212","Yes","Krishi Utpadan Mandi 
Samiti, Atarra, Banda"
"2.","Banda","- do -","PSG","- do -","Banda","5","Gram, Peas, Potato, 
Jaggery","86541","- do -","Krishi Utpadan Mandi 
Samiti, Banda"
"3.","Baberu","RSM","FCG, CWG, 
SWG, 
MCG, RCG","- do -","Atarra","39","Gram, Lentil, Potato, 
Jaggery","44423","Nil","Krishi Utpadan Mandi 
Samiti, Baberu, Banda"
"4.","Khuhand","- do -","PSG","- do -","Khuhand","1","Wheat, Paddy,  Potato, 
Jaggery","Nil","- do -","Krishi Utpadan Mandi 
Samiti, Khurhand"
"5.","Mataundh","- do -","- do -","- do -","Mataundh","1","Peas, Gram, Jowar, Rice","- do -","- do -","Krishi Utpadan Mandi 
Samiti, Mataundh, Banda"
"6.","Naraini","- do -","- do -","- do -","Atarra","12","Wheat, Paddy, Potato, 
Jaggery","- do -","- do -","Krishi Utpadan Mandi 
Samiti, Naraini, Banda"
"7.","Visanda","- do -","- do -","- do -","- do -","19","Wheat, Paddy, Potato, 
Jaggery","- do -","- do -","Krishi Utpadan Mandi 
Samiti, Visanda, Banda"
