"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal address"
"59.","RAMPUR      
(7)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Bilaspur","RPM","Nil","Nil","Bilaspur","2","Paddy, Rice, Wood, 
Wheat","412025","Nil","The Secretary, KUMS, 
Bilaspur (Rampur)"
"2.","Kemri","RSM","- do -","- do -","Kemri","0.5","Paddy, Rice, Wheat, 
Peas","Nil","- do -","- do -"
"3.","Rampur","RPM","MCG","- do -","Rampur","12","Wheat, Paddy, Rice, 
Vegetables","340824","- do -","The Secretary, KUMS, 
Rampur"
"4.","Milak","RSM","Nil","- do -","Milak","1","Wheat, Rice, Vegetables","Nil","- do -","- do -"
"5.","Shahbad","RPM","- do -","- do -","Rampur","35","Wheat, Paddy, Jaggery","64775","- do -","The Secretary, KUMS, 
Shahbad, Rampur"
"6.","Tanda","- do -","- do -","- do -","- do -","26","Rice, Wheat, Paddy, 
Potato","535210","- do -","The Secretary, KUMS, 
Tanda, Rampur"
"7.","Swar","RSM","- do -","- do -","- do -","22","Wheat, Rice, Paddy, 
Vegetables","Nil","- do -","- do -"
