"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal address"
"66.","SONABHADRA 
(4)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Bidhamganj","RSM","PSG","Nil","Bidhamganj","1.5","Wood, Tendu 
leaves, Rice, Wheat","Nil","Yes","Sub Mandi Yard, Bidhamganj, 
C/o KUMS, Dudhi"
"2.","Dudhi","RPM","SFG, MCG, 
CSC, RCG","PRC","Dudhi","1","Wood, Tendu 
leaves, Rice, 
Khandsari","05447-
22208","- do -","KUMS, Dudhi"
"3.","Gharawal","RSM","MCG, RCG","Nil","Roberts 
Ganj","1","Rice, Onion, Potato, 
Red gram","Nil","NIl","Sub Mandi Yard,Gharawal,       
C/o  KUMS, Robertsganj"
"4.","RobertsGanj","RPM","FCG, CWG, 
CSC, MCG","PRC","- do -","1","Rice, Wheat, Paddy, 
Red gram","05444-
22487","Yes","KUMS, Robertsganj"
