"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in 
the market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal address"
"33.","HARDOI     
(15)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Baghauli","RSM","Nil","Nil","Baghauli","0","Wheat, Paddy, 
Maize, Jowar","Nil","Nil","Up Mandi Sthal, Baghauli"
"2.","Beniganj","- do -","- do -","- do -","Beniganj","1","Wheat, Paddy, 
Maize, 
Mustard","- do -","- do -","Up Mandi Sthal, Beniganj"
"3.","Bilgram","- do -","CSC","- do -","Madhoganj","15","Wheat, Gram, 
Rice, Jaggery","- do -","- do -","Up Mandi Sthal, Bilgram"
"4.","Hardoi","RPM","FCG, CWG, 
SWG, CSC","PRC","Hardoi","1","Wheat, Paddy","05852-
20431","- do -","Krishi Utpadan Mandi Samiti, 
Hardoi"
"5.","Harpalpur","RSM","Nil","Nil","- do -","40","- do -","Nil","- do -","Up Mandi Sthal, Harpalpur"
"6.","Kachhauna","- do -","CSC","- do -","Kachhauna","0","Wheat, Paddy, 
Jowar","- do -","- do -","Up Mandi Sthal, Kachhauna"
"7.","Kursath","- do -","Nil","- do -","Madhoganj","22","Wheat, Paddy,","- do -","- do -","Up Mandi Sthal, Kursath"
"8.","Madhoganj","RPM","CSC","- do -","- do -","2","- do -","05851-
40049","- do -","Krishi Utpadan Mandi Samiti, 
Madhoganj"
"9.","Mallawan","RSM","Nil","PRC","Mallawan","0.5","Mustard, 
Wheat, Rice, 
Jaggery","Nil","- do -","Up Mandi Sthal, Mallawan"
"10.","Naupurwa","- do -","- do -","Nil","Madhoganj","35","Wheat, Paddy,","- do -","- do -","Up Mandi Sthal,Naupurwa"
"11.","Pali","- do -","MCG, RCG","- do -","Shahabad","21","Paddy, G.nut,","- do -","- do -","Up Mandi Sthal,Pali"
"12.","Pihani","- do -","MCG, RCG, 
SWG","- do -","Hardoi","25","Jaggery, 
Paddy,","- do -","- do -","Up Mandi Sthal, Pihani"
"13.","Sandi","RPM","Nil","PRC","- do -","23","Wheat, Maize,","05855-
60080","- do -","Krishi Utpadan Mandi Samiti, 
Sandi"
"14.","Sandila","- do -","SWG, FCG, 
CSC","- do -","Sandila","2","Wheat, Paddy,","05854-
70213","- do -","Krishi Utpadan Mandi Samiti, 
Sandila"
"15.","Shahabad","- do -","CSC, SWG","- do -","Anshishahabad","3","- do -","05853-
60016","- do -","Krishi Utpadan Mandi Samiti, 
Shahabad"
