"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal address"
"37.","JHANSI      
(11)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Arch","RSM","PSG, RCG","Nil","Chirgaon","30","Gram, Peas, 
Jaggery, Rice","Nil","Nil","Krishi Utpadan Mandi Samiti, 
Arach, Gursarai"
"2.","Baruasagar","RPM","PSG","- do -","Baruasagar","4","Ginger, Arbi, 
Jaggery, Turmeric","445423","- do -","Krishi Utpadan Mandi Samiti, 
Baruasagar"
"3.","Chirgaon","- do -","CWG, CSC, 
SWG, MCG, 
RCG, SFG","- do -","Chirgaon","2","Wheat, Peas, 
Greem gram, 
Jaggery","85528 
PP","- do -","Krishi Utpadan Mandi Samiti, 
Chirgaon"
"4.","Garautha","RSM","PSG","- do -","- do -","50","Gram, Peas, 
Jaggery, Rice","Nil","- do -","Krishi Utpadan Mandi Samiti, 
Garautha, Gursarai"
"5.","Gursarai","RPM","CSC, SWG, 
MCG, RCG","- do -","- do -","4","Gram, Peas, 
Potato, Rice","60335","- do -","Krishi Utpadan Mandi Samiti, 
Gurssarai"
"6.","Jhansi","- do -","FCG, CWG, 
SWG, MCG, 
RCG","PRC","Jhansi","5","Groundnut, Gram, 
Potato, Jaggery","441233","Yes","Krishi Utpadan Mandi Samiti, 
Jhansi"
"7.","Mauranipur","- do -","SWG, CSC, 
MCG, RCG","Nil","Mauranipur","2","Peas, Gram, 
Potato, Khandsari","61503","- do -","Krishi Utpadan Mandi Samiti, 
Mauranipur"
"8.","Moth","- do -","CSC, SWG, 
MCG, RCG","- do -","Moth","1","Wheat, Peas, 
Jaggery, Potato","50352 
pp","- do -","Krishi Utpadan Mandi Samiti,  
Moth"
"9.","Poonchh","RSM","PSG","- do -","Poonchh","8","Gram, Lentil, 
Jaggery, Potato","Nil","Nil","Krishi Utpadan Mandi Samiti, 
Poonchh, Moth"
"10.","Ranipur","- do -","PSG, RCG","- do -","Ranipur","3","Gram, Peas, 
Jaggery, Rice","- do -","- do -","Krishi Utpadan Mandi Samiti, 
Ranipur"
"11.","Samthar","- do -","CSC","- do -","Moth","15","Gram, Lentil, 
Jaggery, Potato","- do -","- do -","Krishi Utpadan Mandi Samiti, 
Samthar, Moth"
