"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal address"
"70.","VARANASI   
(6)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Adalpura","RSM","PSG","Nil","Kachhawan","2","Paddy, Wheat, 
Onion, Potato","Nil","Nil","Sub Mandi Yard, Adulpura, 
C/o KUMS, Varanasi"
"2.","Danganj","- do -","- do -","- do -","Varanansi 
Cant.","25","Wheat, Rice, 
Mustard, Potato","- do -","- do -","Sub Mandi Yard, Danganj, 
C/o KUMS, Varanasi"
"3.","Jamua","- do -","- do -","- do -","Kachhawan","10","Wheat, Paddy, 
Potato, Onion","- do -","- do -","Sub Mandi Yard, Jamua,    
C/o KUMS, Varanasi"
"4.","Kachhawan","- do -","- do -","- do -","- do -","1","Wheat, Paddy, Rice","- do -","- do -","Sub Mandi Yard, Kachhawan, 
C/o KUMS, Varanasi"
"5.","Pindra","- do -","CSC. PSG","PRC","Pindra","1","Wheat, Paddy, 
Onion, Potato","- do -","- do -","Sub Mandi Yard, Pindra,   
C/o KUMS, Varanasi"
"6.","Varanasi","RPM","CSC, FCG, CWG, 
MCG, SWG, RCG","PRC, 
CSC","Sarnath","5","Potato, Onion, 
Wheat, Pulses","0542-
585911","Yes","KUMS, Varanasi"
