"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance  
(km)","Commodities arriving in 
 
the market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal address"
"1.","AGRA 
(9)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Shamshabad","RPM","Nil","Nil","Agra","25","Potato, Cauliflower, Jaggery, 
Rice","Nil","Nil","KUMS,Tundla Rd., Agra"
"2.","Ladukhera","RSM","- do -","- do -","- do -","15","Mustard, Wheat,  Rice","- do -","- do -","- do -"
"3.","Iradatnagar","- do -","- do -","- do -","Iradatnagar","2","Musatard, Bajra, Jaggery, 
Wheat","- do -","- do -","- do -"
"4.","Kagrol","- do -","- do -","- do -","Kagrol","2","- do -","- do -","- do -","- do -"
"5.","Achnera","RPM","- do -","- do -","Achnera","1","Dhencha, Wheat,  Khandsari","- do -","- do -","KUMS, Achnera, Agra"
"6.","Kirawali","- do -","- do -","- do -","Kirawali","0.5","Wheat, Mustard, Khandsari","- do -","- do -","- do -"
"7.","Agra","- do -","Yes (2)","Yes 
(26)","Agra","10","Wheat, Mustard, G.nut, 
Gram","240322","Yes","KUMS, Tundla Rd., Agra"
"8.","Agra","- do -","Nil","Nil","- do -","3","Potato, Pumpkin, Mangoes, 
Banana","- do -","- do -","- do -"
"9.","Etmadpur","RSM","SWC","Yes","Etmadpur","1","Wheat, Potato, Khandsari, 
Veg.","Nil","Nil","KUMS, Etmadpur, Agra"
"2.","ALIGARH  
(7)","","","","","","","","",""
"1.","Aligarh","RPM","Yes (11)","Yes (6)","Aligarh","4","Wheat, Paddy,  Khandsari","Nil","Yes","KUMS, Sikandra Rao Rd., 
Aligarh"
"2.","Khair","- do -","Yes","Nil","- do -","25","Wheat, Paddy, Rice, Bajra","- do -","Nil","KUMS, Khair, Aligarh"
"3.","Jattary","RSM","Nil","- do -","- do -","46","- do -","- do -","- do -","- do -"
"4.","Naujheel","- do -","- do -","- do -","- do -","54","- do -","- do -","- do -","- do -"
"5.","Harduaganj","- do -","Yes","- do -","- do -","11","Wheat, Paddy, Khandsari","- do -","- do -","KUMS, Sub-Mandi Yard, 
Harduaganj, Aligarh"
"6.","Atrauli","- do -","Nil","Yes","Atrauli","8","Wheat, Barley, Khandsari, 
Paddy","- do -","- do -","KUMS, Atrauli, Aligharh"
