"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance    
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal address"
"49.","MAHARAJGANJ 
(12)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Anand Nagar","RPM","SWG","Nil","Anand Nagar","1","Wheat, Paddy, 
Rice, Potato","05522-
22023","Nil","Naveen Mandi Sthal, Anand 
Nagar"
"2.","Laxmipur","RSM","PSG","- do -","Laxmipur","0","Wheat, Paddy, 
Potato, Onion","Nil","- do -","KUMS, Laxmipur,"
"3.","Brajmanganj","- do -","- do -","- do -","Brajmanganj","1","Wheat, Paddy, 
Pulses, Potato","- do -","- do -","KUMS, Brajmanganj"
"4.","Bargodwa","- do -","SWG","- do -","Nautanwa","28","Wheat, Lentil, 
Onion, Potato","- do -","- do -","KUMS, Bargodwa"
"5.","Garaura","- do -","CSC","- do -","Siswan Bazar","24","Wheat, Paddy, 
Rice, Potato","- do -","- do -","Naveen Mandi Sthal, Nichlaul"
"6.","Mahrajganj","- do -","MCG, SWG, 
RCG","PRC","Kaptanganj","34","Wheat, Paddy, 
Pulses, Potato","- do -","- do -","KUMS, Mahrajganj"
"7.","Nautanwa","RPM","CSC, SWG, 
MCG, RCG","Nil","Nautanwa","5","Wheat, Paddy, 
Rice, Onion","- do -","- do -","Naveen Mandi Sthal, 
Nautanwa"
"8.","Nichlaul","RSM","CSC","- do -","Siswan","10","Wheat, Pulses, 
Rice, Potato","- do -","- do -","KUMS, Sub Market Yard, 
Nichlaul"
"9.","Paniyara","- do -","- do -","- do -","Paniyara","24","Wheat, Paddy, 
Pulses, Potato","- do -","- do -","KUMS, Paniyara, Mahrajganj"
"10.","Partawal","RPM","- do -","- do -","Gorakhpur","33","Wheat, Paddy, 
Potato, Linseed","05523-
41539","- do -","Naveen Mandi Sthal, 
Partawal"
"11.","Siswan Bazar","RSM","PSG","PRC","Siswan","1.5","Wheat, Paddy, 
Rice, Potato","Nil","- do -","KUMS, Sub Yard, Siswan 
Bazar"
"12.","Thuthibari","- do -","- do -","Nil","- do -","29","- do -","- do -","- do -","KUMS, Thuthibari, Garaura"
