"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal 
address"
"17.","BULANDSHAHR  
(14)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Anoopshahar","RPM","CSC, PSG","PRC","Bulandshahar","40","Wheat, Paddy, Maize, 
Bajra","Nil","Nil","KUMS, Anoopshanar"
"2.","Aurangabad","RSM","PSG","- do -","- do -","20","Wheat, Potato, Gram, 
Maize","- do -","- do -","KUMS, Aurangabad"
"3.","Bulandshahar","RPM","SWG, CSC, 
RCG, PSG","PRC, 
PSC","- do -","2","Wheat, Paddy, Oat, Rice","05732-
50026","Yes","KUMS, Anoopshahar 
Road, Bulandshahar"
"4.","Chhatari","RSM","PSG","Nil","Khurja","30","Wheat, Paddy, Barley, 
Jaggery","Nil","Nil","KUMS, (Chhatari), 
Shikarpur"
"5.","Dibai","RPM","FCG, SWG, 
CSC, RCG, 
PSG","PRC","Dibai","5","Wheat, Barley, Paddy, 
Maize","05734-
64204","Yes","KUMS, Dibai"
"6.","Gulavthi","- do -","FCG, SWG, 
CSC, RCG, 
PSG","- do -","Gulavti","0.5","Wheat, Paddy, Red gram, 
Jowar","05732-
29048","- do -","KUMS, Gulavti"
"7.","Jahangirabad","- do -","FCG, CWG, 
CSC, RCG, 
PSG","- do -","Bulandshahr","38","Wheat, Paddy, Maize, 
Barley","05734-
33239","- do -","KUMS, Jahangirabad"
"8.","Kakor","RSM","PSG","Nil","Chola","2","Wheat, Paddy, Maize, 
Potato","Nil","Nil","KUMS, Kakor"
"9.","Khurja","RPM","FCG, SWG, 
CSC, PSG","PRC","Khurja","1","Wheat, Paddy, Rice, 
Maize","05738-
42266","Yes","KUMS, Khurja"
"10.","Pahasu","RSM","PSG","PRC, 
SWG","Khurja","20","Wheat, Paddy, Peas, Rice","Nil","Nil","KUMS, (Pahasu), 
Shikarpur"
"11.","Sikandrabad","RPM","FCG, SWG, 
CSC, PSG","PRC","Dankaur","6.5","Wheat, Rice, Maize, 
Barley","05735-
22276","Yes","KUMS, Sikandrabad"
"12.","Siyana","- do -","- do -","- do -","Garh 
Mukteshwar","20","Wheat, Jaggery,   Jowar,  
Maize","05736-
71145","- do -","KUMS, Siyana"
"13.","Shikarpur","- do -","FCG, SWG, 
CSC, RCG, 
PSG","- do -","Khurja","15","Wheat, Maize, Paddy, 
Barley","05732-
30043","Nil","KUMS, Shikarpur"
