"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal address"
"20.","DEORIA      
(9)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Barhaj Bazar","RPM","CSC","Nil","Deoria","5","Wheat, Paddy,  Rice","05568-
25827","Nil","Naveen Mandi Sthal, Deoria"
"2.","Deoria","RSM","FCG, SWG","PRC","- do -","8","Wheat, Paddy, Pulses, 
Potato","- do -","- do -","- do -"
"3.","Gauri Bazar","- do -","SWG","Nil","Gauri Bazar","1","Pulses, Wheat,  Potato","Nil","- do -","- do -"
"4.","Hata","- do -","PSG","- do -","Deoria","56","Wheat, Paddy, Pulses, 
Potato","- do -","- do -","Naveen Mandi Sthal, Hata"
"5.","Lar","- do -","- do -","- do -","Lar Road","3","- do -","- do -","- do -","Naveen Mandi Sthal, Lar"
"6.","Podari","- do -","- do -","- do -","Salempur","10","Wheat, Paddy, Pulses, 
Rice,","- do -","- do -","Naveen Mandi Sthal, Podari 
Bazar"
"7.","Rudrapur","- do -","SWG","- do -","Deoria","21","Wheat, Paddy, Pulses, 
Potato","- do -","- do -","Naveen Mandi Sthal, Rudrapur"
"8.","Salempur","- do -","CSG","- do -","Salempur","1","- do -","- do -","- do -","Naveen Mandi Sthal, Salempur"
"9.","Tarpulwa","- do -","PSG","- do -","Deoria","20","- do -","- do -","- do -","Naveen Mandi Sthal, Tarpulwa"
