"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal address"
"54.","MORADABAD 
(7)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Bahjoi","RPM","MCG","Nil","Bahjoi","1","Wheat, Bajra, Lentil, 
Mustard","43946","Nil","The Secretary, KUMS, 
Bahjoi"
"2.","Chandausi","- do -","- do -","- do -","Chandausi","1","Wheat, Potato, 
Vegetables, Mustard","50602","- do -","The Secretary, KUMS, 
Chandausi"
"3.","Moradabad","- do -","- do -","- do -","Moradabad","3","Wheat, Paddy, 
Fruits, Vegetables","480453","- do -","The Secretary, KUMS,  
Moradabad"
"4.","Kanth","RSM","Nil","- do -","Kanth","1","Wheat, Rice, Paddy, 
Vegetables","Nil","- do -","- do -"
"5.","Pipalsana","- do -","- do -","- do -","Bojpur","2","Paddy, Wheat, 
Fruits, Vegetables","- do -","- do -","- do -"
"6.","Mura Pandey","- do -","- do -","- do -","Murapandey","0","Wheat, Rice, 
Mustard, Potato","- do -","- do -","- do -"
"7.","Sambhal","RPM","MCG","- do -","Sambhal","2","Potato, Paddy, 
Wheat, Bajra","24105","- do -","The Secretary, KUMS, 
Sambhal"
