"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance    
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal address"
"7.","BADAUN      
(9)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Badaun","RPM","FCG","Yes","Badaun","25","Wheat, Paddy, Rice, Bajra","24223","Nil","The Secretary, KUMS, 
Badaun"
"2.","Usanva","RSM","Nil","Nil","- do -","25","- do -","Nil","- do -","The Secretary, KUMS, 
Usanva, Badaun,"
"3.","Allapur","- do -","- do -","- do -","- do -","15","- do -","- do -","- do -","The Secretary, KUMS, City 
Area, Allapur, Badaun"
"4.","Ushmanpur","- do -","- do -","- do -","Babrala","20","- do -","- do -","- do -","The Secretary, KUMS,        
V & Post-Usmanpur"
"5.","Kolhai","- do -","- do -","- do -","Ujhani","19","Bajra, Maize, Rice, Paddy","- do -","- do -","The Secretary, KUMS,        
V & Post-Kolhai"
"6.","Nadaram Nagar","- do -","- do -","- do -","Chandausi","33","- do -","- do -","- do -","The Secretary, KUMS, V & 
Post-Nadaramnagar, Badaun"
"7.","Rashulpur Puthi","- do -","- do -","- do -","Makrandpur","3","- do -","- do -","- do -","The Secretary, KUMS,        
V & Post-Rashulpur, Puthi, 
Badaun"
"8.","Bisauli","- do -","- do -","- do -","Badaun","30","Paddy, Wheat, Rice, 
Maize","44367","- do -","The Secretary, KUMS,        
V & Post-Bisauli, Badaun"
"9.","Bajirganj","- do -","- do -","- do -","- do -","20","- do -","34550","- do -","The Secretary, KUMS,        
V & Post-Bajirganj, Badaun"
