"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance    
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal address"
"55.","MUZAFFARNAGAR 
(14)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Budhana","RSM","PSG","PRC","Kandhla","26","Wheat, Jaggery, 
Maize, Rice","Nil","Nil","KUMS, Budhana, Shahpur,"
"2.","Jalalabad","- do -","CWG, PSG","Nil","Thana 
Bhawan","2","Paddy, Wheat, Gram, 
Jaggery","- do -","- do -","KUMS, Jalalabad) Thana 
Bhawan"
"3.","Jansath","- do -","Nil","PRC","Khatauli","25","Potato, Jaggery, Rice, 
Gram","- do -","- do -","KUMS, Jansath, Khatauli"
"4.","Jhijhana","- do -","- do -","Nil","Shamli","12","Potato, Cauliflower, 
Tomato, Wood","- do -","- do -","KUMS, Jhijahana, Shamli"
"5.","Kairana","RPM","RCG, PSG","- do -","- do -","12","Jaggery, Wheat, 
Tobacco, Maize","01398-
66245","- do -","KUMS, Kairana,"
"6.","Kandhla","- do -","PSG","- do -","Kandhala","4","Wheat, Paddy, Maize, 
Mangoes","Nil","- do -","KUMS, Kandhala"
"7.","Khatauli","- do -","SWG, CSC, 
PSG","PRC","Khatauli","1","Jaggery, Wheat, Lentil, 
Potato","01396-
75769","Yes","KUMS, Khtauli"
"8.","Mirapur","RSM","CSC, PSG","- do -","- do -","35","Potato, Jaggery, Gram, 
Jowar","Nil","Nil","KUMS, Mirapur, Khatauli"
"9.","Muzaffarnagar","RPM","CSC, PSG, 
MCG","PRC, 
CSC","Muzaffar-
nagar","1","Jaggery, Wheat, 
Maize, Potato","0131-
409108","Yes","KUMS, Muzaffarnagar"
"10.","Oon","RSM","PSG","Nil","Shamli","20","Paddy, Potato, Gram, 
Barley","Nil","Nil","KUMS, Oon, Shamli"
"11.","Purkazi","- do -","- do -","- do -","Roorkee","28","Paddy, Jaggery, Gram, 
Potato","- do -","- do -","KUMS, Purkazi, 
Mazaffarnagar,"
"12.","Shahpur","RPM","- do -","PRC","Muzaffar-
nagar","22","Jaggery, Wheat, 
Maize, Jowar","01392-
55104","- do -","KUMS, Shahpur"
"13.","Shamli","- do -","CWG, CSC, 
RCG, PSG","- do -","Shamli","1.5","Jaggery, Wheat, 
Maize, Potato","01398-
50185","Yes","KUMS, Shamli"
"14.","Thana Bhawan","- do -","SWG, PSG","- do -","- do -","16","Paddy, Wheat, 
Jaggery, Potato","013983-
3236","Nil","KUMS, Thana Bhawan"
