"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal address"
"14.","BARABANKI   
(6)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Barabanki","RPM","CSC, CWG, 
FCG,SWG","PRC","Barabanki","3","Wheat, Potato, Paddy, 
Lentil","Nil","Nil","Krishi Utpadan Mandi 
Samiti, Barabanki"
"2.","Dariabad","RSM","PSG","Nil","Dariabad","0.5","Paddy, Wheat, Lentil, 
Groundnut","- do -","- do -","Sub Mandi Yard, Dariabad, 
C/o KUMS, Barabanki"
"3.","Fatehpur","- do -","- do -","PRC","Fatehpur","3","Paddy, Lentil, Wheat, Rice","- do -","- do -","Sub Mandi Yard, Fatehpur, 
C/o KUMS, Barabanki"
"4.","Haidargarh","- do -","CSC, SWG","Nil","Haidargarh","1","Paddy, Wheat, Banana, 
Jackfruit","- do -","- do -","Sub Mandi Yard, 
Haidargarh, C/o KUMS, 
Barabanki"
"5.","Safdarganj","RPM","CWG, CSC, 
WBG, SWG","- do -","Safdarganj","3","Paddy, Wheat, Lentil, 
Onion","- do -","- do -","Krishi Utpadan Mandi 
Samiti, Safdarganj"
"6.","Tikaitnagar","RSM","PSG","Nil","Dariabad","6","Paddy, Wheat, Rice, Lentil","- do -","- do -","Sub Mandi Yard, Tikait 
Nagar, C/o KUMS, 
Barabanki"
"15.","BASTI        
(2)","","","","","","","","",""
"1.","Basti","RPM","CSC, CWG, 
SWG","PRC","Basti","1","Wheat, Paddy, Potato, 
Onion","05542-
822358","Nil","Krishi Utpadan Mandi 
Samiti, Basti"
"2.","Babhanan","RSM","Nil","- do -","- do -","30","- do -","Nil","- do -","Up Mandi Samiti,, 
Babhanan, Basti"
