"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance    
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal address"
"5.","AMBEDKAR 
NAGAR    
(6)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Akbarpur","RPM","CSC, SWG, 
MCG, RCG","PRC, 
CSC","Akbarpur","0.6","Wheat, Paddy, Rice, 
Banana","Nil","Yes","KUMS, Akbarpur"
"2.","Ariya","RSM","Nil","Nil","- do -","8","Wheat, Paddy, Cucumber, 
Rice","- do -","Nil","Sub-Mandi Yard, Ariya,   
C/o KUMS, Akbarpur"
"3.","Hanswar","- do -","- do -","- do -","Tanda","15","Wheat, Paddy, Potato, 
Wood","- do -","- do -","Sub-Mandi Yard, Hanswar, 
KUMS, Tanda"
"4.","Jalalapur","- do -","SWG","PRC","Malipur","8","Wheat, Paddy, Banana, 
Potato","- do -","- do -","Sub-Mandi Yard, Jalalpur, 
C/o  KUMS, Akbarpur"
"5.","Katahari","- do -","Nil","Nil","Katahari","0","Wheat, Paddy, Mustard, 
Potato","- do -","- do -","Sub-Mandi Yard, Katehari, 
C/o  KUMS, Akbarpur"
"6.","Tanda","RPM","CWG, SFG, 
SWG","PRC","Tanda","3","Wheat, Paddy, Banana, 
Potato","- do -","- do -","KUMS, Tanda"
"6.","AURAIYA  
(6)","","","","","","","","",""
"1.","Auraiya","RPM","MCG","Nil","Phaphund","20","Wheat, Paddy, Peas, Gram","44818","Yes","KUMS, New Market Yard, 
Auraiya"
"2.","Achhalda","- do -","Nil","- do -","Achhalda","2","Wheat, Paddy, Gram, Red 
gram","34027","Nil","KUMS, New Market Yard, 
Achhalada, Auraiya"
"3.","Kanchausi","RSM","- do -","Nil","Kanchausi","1","- do -","- do -","- do -","KUMS,  Kanchausi, 
Diviyapur"
"4.","Yakubpur","- do -","- do -","- do -","Phaphund","36","- do -","82429","- do -","- do -"
"5.","Bela","- do -","- do -","- do -","- do -","27","- do -","Nil","- do -","- do -"
"6.","Phaphund","- do -","- do -","- do -","- do -","9","Wheat, Paddy, Rice, Gram","- do -","- do -","- do -"
