"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
gradinyg 
facility","Complete postal address"
"13.","BARREILY 
(13)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Barreily","RPM","MCG","Nil","Bamiyana","0","Wheat, Paddy, 
Chillies, Pasta","537402","Yes","The Secretary, KUMS, Barreily"
"2.","Devchara","RSM","Nil","- do -","- do -","2","- do -","Nil","Nil","The Secretary, KUMS, V & Post-
Devchara, Barreily"
"3.","Dhauratanda","- do -","- do -","- do -","Antamada","6","- do -","- do -","- do -","The Secretary, KUMS, City Area, 
Dhauratanda, Barreily"
"4.","Nawabganj","- do -","- do -","- do -","Sainthal","3","- do -","- do -","- do -","The Secretary, KUMS, Municipal 
Corp., Nababganj, Barreily"
"5.","Faridpur","- do -","- do -","- do -","Pitambarpur","1","- do -","- do -","- do -","The Secretary, KUMS,             
Faridpur, Barreily"
"6.","Fatehganj 
(East)","- do -","- do -","- do -","Bilpur","1","Wheat, Paddy, 
Green gram, 
Black gram","- do -","- do -","The Secretary, KUMS, City Area, 
Samiti Fatehganj (East), Barreily"
"7.","Fatehganj 
(West)","- do -","- do -","- do -","Bhitora","1","- do -","- do -","- do -","The Secretary, KUMS, Fatehganj 
(West), Barreily"
"8.","Shahi","- do -","- do -","- do -","- do -","25","- do -","- do -","- do -","The Secretary, KUMS, City Area, 
Samiti Shahi, Barreily"
"9.","Shishgarh","- do -","- do -","- do -","- do -","20","- do -","- do -","- do -","The Secretary, KUMS, City Area, 
Shish Garh, Barreily"
"10.","Bisharatganj","RPM","- do -","- do -","Bisharataganj","1","Wheat, Paddy, 
Rice, Pasta","- do -","- do -","The Secretary, KUMS, City Area, 
Bisharat Ganj, Barreily"
"11.","Richha","RSM","- do -","- do -","Richha","4","- do -","- do -","- do -","The Secretary, KUMS, City Area, 
Richha (Bahedi), Barreily"
"12.","Bahedi","RPM","- do -","- do -","Bahedi","2","- do -","52034","- do -","The Secretary, KUMS, Bahedi, 
Barreily"
"13.","Amla","- do -","- do -","- do -","Amla","3","- do -","32138","- do -","The Secretary, KUMS, Amala, Barreily"
