"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal address"
"30.","GHAZIABAD 
(6)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Garh 
Mukteshwar","RSM","CSC, PSG","Nil","Garh 
Mukteshwar","1","Paddy, Wheat, 
Maize, Rice","Nil","Nil","Krishi Utpadan Mandi Samit 
(Anaj Mandi), Garh 
Mukteshwar"
"2.","Ghaziabad 
(Sahibabad)","RPM","FCG, CWG, 
SWG, CSC, RCG, 
PSG,","PRC, 
PSC","Sahibabad","3","Paddy, Wheat, 
Potato, Onion","0120-
4771972","Yes","Krishi Utpadan Mandi Samit 
(Sahibabad), Ghaziabad"
"3.","Hapur","- do -","FCG, SWG, CSC, 
RCG, PSG, MSG","PRC","Hapur","3","Wheat,   
Jaggery,  
Gram, Lentil","0122-
312541","- do -","Krishi Utpadan Mandi Samit, 
Garh Rd. Hapur"
"4.","Modinagar","RSM","PSG","- do -","Modinagar","1","Wheat, Paddy, 
Potato, 
Bottlegourd","Nil","Nil","Krishi Utpadan Mandi Samit, 
New Mandi Yards, Modinagar"
"5.","Moradnagar","RPM","CSC, RCG, PSG","Nil","Moradanagar","2","Jaggery, Wheat, 
Jowar, Maize","01232-
41272","- do -","Krishi Utpadan Mandi Samit, 
Moradnagar"
"6.","Pilkhua","RSM","PSG","PRC","Pilkhua","1","Wheat, Potato, 
Onion, Rice","Nil","- do -","Krishi Utpadan Mandi Samit, 
Pilakhuwa"
