"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal address"
"36.","JAUNPUR 
(12)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Badalapur Khurd","RSM","PSG, CSC","Nil","Baksha","1","Wheat, Paddy, 
Potato, Rice","Nil","Nil","Sub Mandi Yard, Badalapur, 
Khurd, C/o KUMS, Shahganj"
"2.","Gaurabadshahpur","- do -","PSG","- do -","Yadvendra 
Nagar","5","Wheat, Potato, 
Rice, Gram","- do -","- do -","Sub Mandi Yard, Gaura 
Badshahpur, C/o KUMS, Jaunpur"
"3.","Jaunpur","RPM","CSC, SWG, 
FCG, PSG","PRC","Jaunpur","2","Wheat, Potato, 
Mangoes, 
Khandsari","05452-
62430","- do -","Krishi Utpadan Mandi Samiti, 
Jaunpur"
"4.","Jafarabad","RSM","PSG","- do -","Jafarabad","1","Wheat, Potato, 
Onion, Gram","Nil","- do -","Sub Mandi Yard, Jafarabad,      
C/o KUMS, Jaunpur"
"5.","Kerakat","- do -","CSC, PSG","- do -","Kerakat","1","Wheat, Potato, 
Pulses, Rice","- do -","- do -","Sub Mandi Yard, Kerakat,         
C/o KUMS,Jaunpur"
"6.","Khetasarai","- do -","PSG","Nil","Khetasarai","1","Paddy, Wheat, 
Potato, Pulses","- do -","- do -","Sub Mandi Yard, Khetasarai,     
C/o KUMS, Jaunpur"
"7.","Machhalishahar","- do -","PSG, CSC","- do -","Janghai","8","Rice, Pulses, 
Potato, Onion","- do -","- do -","Sub Mandi Yard, Machhal Shahar, 
C/o KUMS, Mugrabadshahpur, 
Jaunpur"
"8.","Mugrabadshahpu
r","RPM","PSG","- do -","Mugrabad-
shahpur","1","Wheat, Paddy, 
Potato, Jaggery","05454-
74656","- do -","Krishi Utpadan Mandi Samiti, 
Mugrabadshapur, Jaunpur"
"9.","Mariyahun","RSM","PSG, SFG","- do -","Mariyahun","1.7","Potato, Pulses, 
Rice, Wheat","Nil","- do -","Sub Mandi Yard, Mariyahun,    
C/o KUMS, Jaunpur"
"10.","Naupedwa","- do -","PSG","- do -","Baksha","2","Wheat, Mustard, 
Pulses, Potato","- do -","- do -","Sub Mandi Yard, Naupedwa,    
C/o KUMS, Jaunpur"
"11.","Phoolpur","- do -","- do -","PRC","Khurashan 
Rd.","1","Wheat, Paddy, 
Pulses, Potato","- do -","- do -","Sub Mandi Yard, Phoolpur,       
C/o KUMS, Jaunpur"
"12.","Shahganj","RPM","CWG, 
MCG,  
FCG, CWG, 
RCG","PRC, 
CSC","Shahganj","1.5","Wheat, Paddy, 
Pulses, Jaggery","05453-
22413","- do -","Krishi Utpadan Mandi Samiti, 
Shahaganj, Jaunpur"
