"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal address"
"31.","GHAZIPUR 
(11)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Bahadurganj","RSM","MCG","Nil","Mau","10","Wheat, Paddy, 
Onion, Potato","Nil","Nil","Sub Mandi Yard, Bahadurganj,      
C/o KUMS, Yusufpur, 
Distt.Ghazipur"
"2.","Dildarnagar","- do -","- do -","PRC","Dildarnagar","1","Wheat, Paddy, 
Potato, Tomato","- do -","- do -","Sub Mandi Yard, Dildarnagar,       
C/o KUMS, Jangipur, Distt.Ghazipur"
"3.","Ghazipur","- do -","SWG, FCG, 
CSC, SFG","- do -","Ghazipur","1","Potato, 
Tomato, 
Onion, Wheat","- do -","- do -","Sub Mandi Yard, Ghazipur,          
C/o KUMS, Jangipur, Distt.Ghazipur"
"4.","Jalalabad","- do -","PSG","- do -","Dullapur","4","Wheat, Potato, 
Pulses, 
Tobacco","- do -","- do -","Sub Mandi Yard, Jalalabad,          
C/o KUMS, Jangipur, Distt.Ghazipur"
"5.","Jamania","RPM","CSC, RCG","- do -","Jamania","1","Paddy, Potato, 
Mangoes, Rice","- do -","- do -","Krishi Utpadan Mandi Samiti, 
Jamania, Distt.Ghazipur"
"6.","Jangipur","- do -","CSC, MCG, 
SWG, RCG","CSC, 
PRC","Ghazipur","7","Wheat, Potato, 
Pulses, Rice","0548-
234010","Yes","Krishi Utpadan Mandi Samiti, 
Jangipur, Distt.Ghazipur"
"7.","Karimuddinpur","RSM","PSG","Nil","Karimuddinpur","1","Wheat, Paddy, 
Onion, Potato","Nil","- do -","Sub Mandi Yard, Karimuddinpur,  
C/o KUMS, Yusufpur"
"8.","Nandganj","- do -","- do -","PRC","Nandganj","0.5","Wheat, Paddy, 
Potato, Pulses","- do -","- do -","Sub Mandi Yard, Nandganj,          
C/o KUMS, Jangipur"
"9.","Sadat","- do -","MCG, RCG","Nil","Sadat","2","- do -","- do -","- do -","Sub Mandi Yard, Sadat, C/o KUMS, 
Jangipur"
"10.","Saidpur","RPM","RCG, CSC","CSC","Saidpur","2","Paddy, Radish, 
Potato, Pulses","- do -","- do -","Krishi Utpadan Mandi Samiti, 
Saidpur"
"11.","Yusufpur","- do -","CSC, SFG, 
MCG, RCG","PRC","Yusufpur","0.5","Wheat, Pulses, 
Rice, Potato","05493-
42320","- do -","Krishi Utpadan Mandi Samiti, 
Yusufpur"
