"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
grading 
facility","Complete postal address"
"35.","JALAUN   
(11)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Ait","RPM","CSC, SWG, 
MCG, RCG","Nil","Ait","1","Gram, Lentil, Jaggery, 
Mustard","33633","Nil","Krishi Utpadan Mandi Samit, Ait"
"2.","Jalaun","- do -","SWG, RCG, 
MCG, CSC","- do -","Orai","12","Peas, Lentil, Jaggery, 
Potato","22701","- do -","Krishi Utpadan Mandi Samit, Jalaun"
"3.","Kotara","RSM","MCG, RCG, 
CSC","- do -","Ait","15","Gram, Lentil, Potato, 
Linseed","Nil","- do -","Krishi Utpadan Mandi Samit, 
Kotara, Ait"
"4.","Kalpi","RPM","SWG, CSC, 
MCG, RCG","- do -","Kalpi","3","Jowar, Maize, Jaggery, 
Potato","74657","- do -","Krishi Utpadan Mandi Samit, Kalpi"
"5.","Konch","- do -","- do -","- do -","Konch","1.5","Peas, Lentil, Jaggery, 
Potato","44674","- do -","Krishi Utpadan Mandi Samit, Konch"
"6.","Kadauna","- do -","MCG, RCG","- do -","Kalpi","25","Peas, Wheat, Red gram, 
Mustard","72212 
PP","- do -","Krishi Utpadan Mandi Samit, 
Kadauna"
"7.","Madhogarh","- do -","CSC, SWG, 
MCG, RCG","- do -","Orai","47","- do -","26676 
PP","- do -","Krishi Utpadan Mandi Samit, 
Madhogarh"
"8.","Nadigaon","RSM","PSG","- do -","Kalpi","10","Peas, Gram, Jaggery, 
Mustard","Nil","- do -","Krishi Utpadan Mandi Samit, 
Nadigaon"
"9.","Orai","RPM","FCG, SWG, 
MCG, RCG","PRC","Orai","1","Peas, Gram, Jaggery, 
Potato","52316","Yes","Krishi Utpadan Mandi Samit, Orai"
"10.","Pirona","RSM","PSG","Nil","Pirona","2","Wheat, Gram, Jaggery, 
Potato","Nil","Nil","Krishi Utpadan Mandi Samit, Pirona"
"11.","Rampura","- do -","CSC","- do -","Orai","56","Wheat, Gram, Jaggery, 
Jowar","- do -","- do -","Krishi Utpadan Mandi Samit, 
Rampura"
