"Name of district and 
wholesale market","","State of 
regu-
lation","Go- 
down 
faci- 
lities","Cold 
storage 
facility","Nearest 
Railway Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"6.","KOLIAM 
(QUILON) 
(13)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"6.","Kollam 
Polyyathod 
Market","NRM","NIL","NIL","Kollam","3","Banana, Vegetable","NIL","NIL","Polayathodu Market, 
        
Kollam -691506"
"7.","Kottarakara 
Market","- do -","SWG","NIL","Kottarakara","1","Pepper, Banana, 
Cashew, Coconut","NIL","NIL","Kottakara Market, 
          
Kottarakara – 691506"
"8.","Neendakara 
Market","- do -","NIL","PRC","Kollam","7","Fish","NIL","NIL","Neendakara Fish Landing 
Harbour, Kollam-691582"
"9.","Pathanapuram 
Market","- do -","NIL","NIL","Avaneeswaram","6","Pepper, Ginger, 
Arecanut, Betel 
leaves","NIL","NIL","Pathanapuram Market, near 
KSRTC Stand – 689695"
"10.","Punalur","- do -","SWG","NIL","Punalur","0.5","Banana,  Pepper, 
Coconut, Arecanut","0475-
222061","NIL","Punalur Municipal Market, 
Punalur-691305"
"11.","Puthur","- do -","NIL","NIL","Kottarakara","7","Pepper, Cashew, 
Banana, Vegetable","NIL","NIL","Puthur Market, Neduvathur 
Panchayat-691507"
"12.","Shakthikulangar
a Fish landing 
harbour","- do -","NIL","PRC","Kollam","11","Fish","NIL","NIL","Shakthikulangara Harbour, 
Kollam-691581"
"13.","Valavupacha 
Market","- do -","NIL","NIL","Punalur","29","Cashew, Pepper, 
Banana, Yams","NIL","NIL","Valavupucha Market, 
Chithara Panchayat-691559."
