"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"3.","IDUKKI 
(28)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Adimali Market","NRM","PSG","PRC","Kottayam","180","Pepper, Coffee, 
Lemongrass oil, 
Vegetable","0486-
422160","NIL","Adimali Market, Mannankandam 
Panchayat, Adimali Block"
"2.","Alacode Market","- do -","- do -","NIL","- do -","68","Ginger, Pepper, 
Rubber, Cashew","0486-
276246","NIL","Alacode Market, Alacode 
Panchayat, Ilamdesam Block"
"3.","Arakulam 
Market","- do -","- do -","NIL","- do -","140","Pepper, Cashew, 
Rubber, Turmeric","0486-
252030","NIL","Arakulam Market, Arakulam 
Panchayat, Idukki Block"
"4.","Irattayar Market","- do -","- do -","NIL","- do -","160","Arecanut, Pepper, 
Ginger, Coffee","0486-
837360","NIL","Irattayar Market, Udumbanchola 
Panchayat, Nedumkandom Block"
"5.","Karimannur 
Market","- do -","- do -","NIL","- do -","72","Rubber, Pepper, 
Ginger, Cashew","0486-
262221","NIL","Karimannoor Market, Karimannur 
Panchayat, Ilamdesam Block"
"6.","Karimban","- do -","- do -","NIL","- do -","140","Pepper, Arecanut, 
Ginger, Banana","0486-
235627","NIL","Karimban Market, Vazhathope 
Panchayat, Idukki Block"
"7.","Karimkunnam","- do -","- do -","NIL","- do -","68","Ginger, Pepper, 
Rubber, Cashew","0486-
242322","NIL","Karimkunnam Market, 
Karimkunnam Panchayat, 
Thodupuzha Block"
"8.","Kattappana 
Market","- do -","SFG, SWG, 
PSG","PRC","- do -","145","Coffee, Pepper, 
Ginger, Arecanut","0486-
872235","NIL","Kattappana  Market, Kattappana 
Panchayat, Kattappana Block"
"9.","Kattappana 
Cattle Market","- do -","PSG","NIL","- do -","145","Cattle","0486-
872235","NIL","Kattappana Cattle Market, 
Kattappana panchayat, Kattappana 
Block"
"10.","Kanjikkuzhi 
Market","- do -","- do -","NIL","- do -","140","Pepper, Arecanut, 
Ginger, Banana","0486-
239210","NIL","Kanjikkuzhi Market, Kunjikkuzhi 
panchayat, Idukki Block"
