"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"12.","THIRUVANA- 
NTHAPURAM 
(TRIVANDRAM) 
 (23)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"12.","Mariamuttom","NRM","NIL","NIL","Dhanuva-
chapuram","8","Banana, Coconut, 
Arecanut, Pepper","NIL","NIL","Mariamuttom Market, 
Peringadavila             
Panchayat-695131"
"13.","Nanniyod","- do -","-","NIL","Trivandrum 
Central","25","Pepper, Arecanut, 
Coconut, Cashewnut","0471-
840224","NIL","Nanniyod Market, 
Nanniyod, Trivandrum"
"14.","Nedumangad","- do -","SWG","NIL","- do -","20","Pepper, Arecanut, 
Coconut, Cloves","0471-
812238","NIL","Nedumangad Market, 
Trivandrum-695541"
"15.","Palayam","- do -","-","NIL","- do -","2.5","Banana, Vegetable, 
Fish","0471-
320821","NIL","Palayam Market, 
Trivandrum-695033"
"16.","Panachamoodu","- do -","-","NIL","Parassala","15","Banana, Coconut, 
Pepper, Arecanut","-","NIL","Panachamoodu Market, 
Vellarada P.O.-695505"
"17.","Pangode","- do -","-","NIL","Chirayankil","35","Pepper, Arecanut, 
Cashewnut, Banana","0471-
869241","NIL","Pangode Market, Pangode, 
Trivandrum Distt.-695609"
"18.","Pangode Fish 
Market","- do -","-","NIL","Trivandrum 
Central","5","Fish","-","NIL","Pangode Wholesale Fish 
Market, Edapazhinji, 
Trivandrum-695006"
"19.","Peringamala","- do -","NIL","NIL","- do -","40","Pepper Coconut, 
Arecanut, Cashewnut","0471-
845532","NIL","Peringamala Market, 
Peringamala 
              
Panchayat - 695563"
"20","Poudikonam","- do -","NIL","NIL","- do -","15","Stringbeans, 
Bittergourd, Banana, 
Jackfruit.","NIL","NIL","Powdikonam Market, 
Srikaryam Panchayat, 
Trivandrum."
"21.","Vamanapuram","- do -","NIL","NIL","Chirayankil","18","Banana, Coconut, 
Vegetable, Pepper","0472-
835034","NIL","Vamanapuram Market, 
Trivandrum – 695606."
"22.","Venjaramoodu","- do -","NIL","NIL","- do -","22","Banana, Vegetable, 
Coconut, Arecanut","NIL","NIL","Veenjaramoodu Market, 
Nellanad Panchayat, 
Trivandrum-695607."
"23.","Vizhinjam","- do -","NIL","NIL","Trivandrum 
Central","24","Fish","NIL","NIL","Vizhinjam Fish Market, 
Vizhinjam Harbour, 
Trivandrum – 695521."
