"Name of district and 
wholesale market","","State of 
regu-
lation","Go- 
down 
faci- 
lities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"5.","KASARGOD 
(3)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Kasargod","NRM","PSG","NIL","Kasargod","2","Arecanut, Copra, 
Cashew, Pepper","NIL","NIL","Near Old Bus Stand, Kasargod, 
Kasargod Municipality-671121"
"2.","Kanhangad","- do -","- do -","NIL","Kanhangad","1","Pepper, Arecanut, 
Cashew, Copra","NIL","NIL","Kottacherry, Kanhangad, 
Kasargod Dist.-671315"
"3.","Neeleshwaram","- do -","- do -","NIL","Neeleswara
m","1","Pepper, Arecanut, 
Ginger, Cashew","NIL","NIL","Rly. Station Road, 
Neeleshwaram, Kasargod 
Distt.-671506"
