"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"7.","KOTTAYAM 
(22)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"15.","Kuruppamthara 
Cattle Market","NRM","PSG","NIL","Kuruppamthara","2","Catttle","0482-
642337","NIL","Kuruppamthara Cattle 
Market, C/o. Manjoor 
Panchayat Office, 
Kaduthuruthy Block"
"16.","Mukkuttuthara 
Market","- do -","- do -","PRC","Kottayam","40","Coconut, Rubber, 
Banana, Arecanut","0482-
810337","NIL","Mukkuttuthara Market, 
C/o. Erumeli Panchayat, 
Kanjirappally Block"
"17.","Palai Municipal 
Market","- do -","PSG, 
SWG","PSC, 
PRC","Ettumanoor R.S.","23","Pepper, Ginger, 
Coconut, Arecanut","0482-
212328","NIL","Pala Market, C/o. Pala 
Municipal Office, 
kottayam Distt.-656875"
"18.","Pampady Market","- do -","PSG","NIL","Kottayam R.S.","25","Banana, Coconut, 
Tapioca, Pepper","0481-
505323","NIL","Pampady Market, 
Alampally, Pampady 
Block"
"19.","Pampady Cattle 
Market","NRM","PSG","NIL","Kottayam R.S.","25","Cattle","0481-
505323","NIL","Pampady Cattle Market, 
Pampady Block"
"20.","Ponkunnam 
Market","- do -","SWG, PSG","PRC","- do -","25","Pepper, Rubber, 
Banana, Coconut","0482-
821376","NIL","Ponkunnam Market, C/o. 
Chirakkadavu Panchayat 
Office, Vazhoor Block"
"21.","Thalayola-
parambu Market","- do -","PSG","PRC","Vaikkom Road 
R.S.","5","Banana, Coconuts, 
Arecanut, Vegetables","0482-
636127","NIL","Thalayolaparambu 
Market, C/o. 
Thalayolaparambu 
Panchayat, Kaduthuruthy 
Block."
"22.","Uzhavoor Market","- do -","- do -","NIL","Kuruppanthara 
R.S.","13","Rubber, Cocoa, 
Banana, Coconuts","NIL","NIL","Private Shops, Uzhavoor 
Market, Uzhavoor P.O., 
Uzhavoor Block"
