"Name of district and 
wholesale market","","State 
of 
regu-
lation","Go- 
down 
faci- 
lities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in the 
market","Tel.
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"1.","BISHENPUR       
(3)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Bishenpur Bazar","NRM","FCG","-","Dimapur","354","Paddy, Rice, Chillies, Vegetables","-","-","Bishenpur Bazar, Bishenpur."
"2.","Moirang Bazar","- do -","CSC","-","- do -","370","Paddy, Rice, Fish, Vegetables","-","-","Moirang Bazar, Bishenpur ."
"3.","Nambol Bazar","- do -","- do -","-","- do -","339","- do -","-","-","Nambol Bazar, Bishenpur."
"2.","CHANDEL (1)","","","","","","","","",""
"1.","Moreh Bazar","NRM 
PSG 
- 
- do - 
435 
Spices, Rice, Ginger, Soybean 
- 
- 
Moreh Bazar, Chandel.","","","","","","","",""
"3.","CHURACHAND-
PUR (1)","","","","","","","","",""
"1.","Churachandpur 
Bazar","NRM 
CSC 
- 
Dimapur 
390 
Pineapple, Maize, Ginger, 
- 
- 
Churachandpur Bazar, 
Chillies 
Churachandpur.","","","","","","","",""
"4.","IMPHAL EAST (2)","","","","","","","","",""
"1.","Kongba Bazar","NRM 
CSC 
- 
Dimapur 
330 
Paddy, Rice, Pulses, Vegetables 
- 
- 
Kongba Bazar Imphal East.","","","","","","","",""
"2.","Lamlong Bazar","- do - 
- do - 
PSC 
- do - 
324 
Paddy, Rice, Vegetables, Pulses 
- 
- 
Lamlong Bazar, Imphal East.","","","","","","","",""
"5.","IMPHAL WEST (7)","","","","","","","","",""
"1.","Imphal Khwai 
Bazar","NRM","PSG","PSG","Dimapur","325","Paddy, Rice, Vegetables, Fish, 
Fruits","-","-","Imphal Khwai Bazar, Imphal 
West."
"2.","Jiribam Bazar","- do -","CSC","-","Silcher","48","Banana, Coconut, 
Vegetable, Spices, Betel leaves","-","-","Jiribam Bazar, Impahl West."
"3.","Lamsang Bazar","- do -","- do -","-","Dimapur","335","Paddy, Rice, Potato, Vegetables","-","-","Lamsang Bazar, Imphal West."
"4.","Mayang Imphal 
Bazar","- do -","- do -","-","- do -","345","Paddy, Rice, Chillies, Potato, 
Fish","-","-","Mayang Imphal, Imphal West."
"5.","Samurou Bazar","- do -","- do -","-","- do -","340","Paddy, Chillies, Cabbage, 
Potato, Cauliflower","-","-","Samurou Bazar, Impahl West."
"6.","Sekmai Bazar","- do -","- do -","-","- do -","305","Wheat, Rice Maize, Mustard, 
Potato","-","-","Sekmai Bazar, Imphal West."
"7.","Singjamei Bazar","- do -","- do -","-","- do -","330","Paddy, Rice, Vegetables, Pulses","-","-","Singjamei Bazar, Imphal West."
