"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"6.","SENAPATI        
(1)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Kangpokpi Bazar","NRM","CSC","-","Dimapur","277","Maize, Potato, Mustard, 
Spices","-","-","Kangpokpi Bazar, Senapati."
"7.","TAMENGLONG 
(1)","","","","","","","","",""
"1.","Tamenglong Bazar","NRM 
CSC 
- 
Dimapur 
421 
Orange, Potato, Ginger, 
- 
- 
Tamenglong Bazar, Tamenglong. 
Lemon","","","","","","","",""
"8.","THOUBAL (5)","","","","","","","","",""
"1.","Kakching Bazar","NRM","CSC","-","Dimapur","370","Paddy, Rice, Mustard, 
Sugarcane, Potato, Other 
vegetabes","-","-","Kakching Bazar, Thoubal."
"2.","Sugnu Bazar","NRM","CSC","-","- do -","389","Paddy, Maize, Mustard, 
Potato, Vegetables","-","-","Sugnu Bazar, Thoubal."
"3.","Thoubal Bazar","NRM","FCG","-","- do -","349","Paddy, Rice, Pineapple, 
Sugarcane, Vegetables","-","-","Thoubal Bazar, Thoubal."
"4.","Wabgai Lamkhai 
Bazar","NRM","CSC","-","- do -","370","Paddy, Rice, Sugarcane, 
Potato, Vegetables","-","-","Wabgai Lamkhai Bazar, Thoubal."
"5.","Yairipok Bazar","NRM","CSC","-","- do -","357","Paddy, Rice, Chillies, 
Mustard, Peas","-","-","Yairipok Bazar, Thoubal."
"9.","UKHRUL (1)","","","","","","","","",""
"1.","Ukhrul","NRM 
PSG 
- 
Dimapur 
421 
Potato, Chillies, Soybean, 
- 
- 
Ukhrul Bazar, Ukhrul. 
Other pulses","","","","","","","",""
