"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown   
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"9.","KANYAKUMARI 
(6)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Eathamozhy","RPM","Nil","Nil","Nagercoil","9","Coconut, Tamarind","Nil","Nil","Eathamozhy, Regulated Market, 
D.No.334/44A, Vellalar St. 
Rajakkamangalam Road, 
P.O.Eathamozhi"
"2.","Kaliakkavilai","- do -","MCG, 
RCG","- do -","Parasalai","4","Cashewnut, 
Tapioca, Coconut, 
Tamarind","- do -","- do -","Kaliakkavillai Regulated Market,  
Kozhivillai Jn. P.O.Kulappuram"
"3.","Kulasekharam","- do -","- do -","- do -","Kuzhithurai","12","Coconut, Rubber, 
Tapioca","04651- 
577474","- do -","Kulsekharam Regulated Market, 
4/53C, Oothukuzhi Villai, 
P.O.Kulasekharam"
"4.","Mondaymarket","- do -","- do -","- do -","Neyyoor","4","Coconut, Tapioca, 
Tamarind","04651- 
522251","Yes","Monday Market Regulated 
Market, Periapalli Salai, 
P.O.Neyyoor"
"5.","Thoduvatty","- do -","- do -","- do -","Kuzhithurai","3","Cashewnut, 
Tapioca, Coconut, 
Tamarind","Nil","Nil","Thoduvatty Regulated Market, 
Gnaramvillai Jn., Nesamony 
Bridge (Near), P.O.Pacode"
"6.","Vadasery","- do -","- do -","- do -","Nagercoil","3","Paddy, Coconut, 
Tapioca, Tamarind","04652- 
275476","Yes","Vadasey Regulated Market, 612, 
Trivaandrum Road, Krishnancoil, 
Nagercoil-629001"
