"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown   
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"23.","THIRUVARUR   
(9)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Koradacheri","RPM","MCG","Nil","Koradacheri","1.5","Blackgram, Paddy, 
Greengram, 
Coconut, Gingili","Nil","Nil","The Supervisor/Supttd. Regulated 
Market, Gnana Kalanjium Mill, 
Koradacheri-613703"
"2.","Kodavasal","- do -","- do -","- do -","- do -","10","Paddy, Cotton, 
Blackgram, 
Greengram","- do -","- do -","The Supervisor/Supttd. Regulated 
Market, 48 E, Kalimarice Mill, Agara 
Sai Main Rd., Kodavasal-612601"
"3.","Mannarkudi","- do -","- do -","- do -","Needaman-
galam","12","Paddy, Pulses, 
Gingelly, Maize","0 4367- 
22280","- do -","The Supervisor/Supttd. Regulated 
Market, RPS Nagar, Rajan Gardens, 
Mannarkudi-614001"
"4.","Poonthottam","- do -","- do -","- do -","Poonthottam","2","Paddy, Cotton, 
Gingelly,  Pulses","Nil","- do -","The Supervisor/Supttd. Regulated 
Market, Main Rd.,          
Poonthottam-609503"
"5.","Thiruthurai-
poondi","- do -","MCG, 
RCG","- do -","Thiruthurai-
poondi","1","Paddy, Pulses, 
Black gram, Green 
gram, 
Groundnut, 
Coconut","04369- 
22426","- do -","The Supervisor/Supttd. Regulated 
Market, Thiruvarur Rd., 
Thirutharaipoondi-614713"
"6.","Thiruvarur","- do -","- do -","- do -","Thiruvarur","0.5","Paddy, Cotton, 
Gingili, Pulses","04366- 
22481","- do -","The Supervisor/Supttd. Regulated 
Market, Peria Mill Street, 
Vijayapuram, Thiruvarur-610001"
"7.","Thiruvarur    
Daily 
Municipal 
Market","RPM*","Nil","- do -","- do -","0.5","Brinjal, Tomato, 
Other vegetables","04366- 
22808","- do -","The Supervisor/Supttd. Regulated 
Market, Daily Vegetable Market, 
Thiruvarur-610001"
"8.","Vaduvur","RPM","PSG","- do -","Needaman-
galam","15","Paddy, Pulses, 
Gingili, Groundnut","04367- 
67462","- do -","The Supervisor/Supttd. Regulated 
Market, Needamangalam Rd., 
Vaduvur-614019"
"9.","Valangaiman","- do -","- do -","- do -","Kumbakonam","16","Paddy, Cotton, 
Coconut, Pulses","Nil","- do -","-"
