"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"2.","CUDDALORE 
(10)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Bhuvanagiri","RPM","Nil","Nil","Chidambaram","5","Paddy, G.nut, 
Bajra, Ragi","Nil","Nil","RMC, Sandai Thiruppu Rd., 
Bhuvangiri-608601"
"2.","Chidambaram","- do -","- do -","- do -","- do -","1","- do -","04144-
30677","- do -","RMC, Uzhavar Sandai 
Complex,                
Chindambaram-608001"
"3.","Cuddalore Port 
(Old Town)","- do -","FCG, SWG, 
MCG","- do -","Cuddalopre 
(Old Town)","1","- do -","04142-
338072","- do -","RMC, Chidambaram Rd. 
Cuddalore, Harbour-607003"
"4.","Kattumannar  Koil","- do -","RCG, MCG","- do -","Chidambaram","15","- do -","Nil","- do -","RMC, Rajendra Sozhagan, 
Kattumannar, Koil-608301"
"5.","Kurinjipadi","- do -","- do -","- do -","Kurinjipadi","1","- do -","04142-
358371","- do -","RMC, Chidambaram Rd, 
Kurinjipadi-607302"
"6.","Panruti","- do -","MCG","- do -","Panruti","1","Paddy, G.nut, 
Cotton, Pulses","04142-
342185","- do -","RMC, Byepass Rd,        
Panruti – 607106"
"7.","Sethiarthoppu","- do -","Nil","- do -","Chidambaram","20","Paddy, G.nut, 
Bajra, Ragi","Nil","- do -","RMC, Kilangadu Rd. 
Sethiarthoppu-638702"
"8.","Sri mushnam","- do -","- do -","- do -","Virudhachalam","15","- do -","- do -","- do -","RMC, Andimadam Rd,. 
Srimushnam-608003"
"9.","Thittakudi","- do -","- do -","- do -","- do -","15","- do -","04143-
55352,  
85352","- do -","RMC, Thozudhur Rd, 
Thittakudi, Cuddalore"
"10.","Virudhachalam","- do -","MCG, 
SWG, RCG","- do -","- do -","1","Paddy, G.nut, 
Gingili, Pulses","04143-
60258","- do -","RMC,  Cuddalore Main Rd., 
Virudhachalam-606001"
