"Name of district and 
wholesale market","","State 
of 
regu-
lation","Go-     
down    
faci-    
lities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"3.","COIMBATORE 
(21)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Annur","RPM","MCG","Nil","Mettupala-   
yam","20","Cotton, Maize, 
Coconut, Tobacco","04254-
262440","Nil","Nagammapudur, Annur-641653"
"2.","Annamalia","- do -","MCG, 
RCG","- do -","Pollachi","14","Paddy, Coconut, 
Sugarcane, 
Jaggery, G.nut","04253-
292223","- do -","Pollachi Road, Anaimalai-642104"
"3.","Avinashi","- do -","Nil","- do -","Tirupur","13","Cotton, Coconut, 
Paddy, Greengram","04296-
603304","- do -","Kalkattipudur, Avinashi-641654"
"4.","Cheyur","- do -","MCG, 
RCG","- do -","- do -","21","Cotton, Coconut, 
Maize, Groundnut","04296-
677255","- do -","Puliampati Road, Cheyur-641655"
"5.","Coimbatore","- do -","MCG","- do -","Coimbatore","4","Turmeric, Maize, 
Coconut, Cotton","0422-
314306","- do -","Trichy Road, Ramnathapuram, 
Coimbatore-641045"
"6.","Karamandai","- do -","- do -","- do -","Karamanda
l","2","Cotton, Jowar, 
Tobacco, Maize","04254-
272408","- do -","Siru Rd.,Sastri Nagar,                  
Karamadai-641104"
"7.","Kinathukadavu","- do -","- do -","- do -","Kinathuka-
davu","2","Coconut, Turmeric, 
Cotton, Maize","Nil","- do -","Kothavadipirivu,                    
Kinathukadavu- 642109"
"8.","Madathukulam","- do -","MCG, 
RCG","- do -","Udurnal-
pet","13","Jaggrry, Paddy, 
Coconut, Maize","- do -","- do -","Main Rd., Madathukulam-642113"
"9.","Mettupalayam","NRM","CSC, 
PSG, 
SFG","PRC","Mettupala- 
yam","2","Potato, Cabbage, 
Carrot, Beans","04254-
222537 
04254-
227507 
04254-
222678","- do -","(1) 
Nilgiri 
Co-operative 
Marketing 
Society  Ltd.,(NCMS),  Mellithurai  Rd., 
Mettupalayam-641305 
(2) 
Potato 
Chamber 
of 
Commerce, 
Opp.Police 
Station, 
Shakti 
Rd.,  Mettupalayam-
641305 
(3) 
Vegetable 
Chamber 
of 
Commerce, 
Gandhimaidam, 
Mettupalayam-641305"
