"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown    
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"28.","VILLUPURAM 
(17)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Anandhapuram","RPM","Nil","Nil","Villupuram","28","Paddy, Cumbu, 
Groundnut, Gingili","Nil","Nil","RMC, Anandhapuram, PO-
Villupuram-605201"
"2.","Avalurpet","- do -","RCG, 
MCG","- do -","Tiruvanna-
malai","23","Paddy, Groundnut, 
Blackgram, Chillies,","04145-
33244","- do -","RMC, Avalurpet,              
PO-Gingee-604201"
"3.","Chinnasalem","- do -","RCG, 
MCG, 
CWG","- do -","Chnnaasalem","1","Paddy, Groundnut, 
Karamani, Gingili","04151-
36266","- do -","RMC, Salem Main Rd., 
Chinnasalem-606201"
"4.","Gingee","- do -","RCG, 
MCG","- do -","Tindivanam","35","Paddy, Groundnut, 
Gingili, Cotton","04145-
22048","Yes","RMC, Tindivanam Rd.,       
Gingee-606202"
"5.","Kallakurichi","- do -","RCG, 
MCG, 
SWG","- do -","Chinnasalem","15","Gingili, Groundnut, 
Black Gram,  
Greengram","04151-
22359","- do -","RMC, Hospital Rd.           
Kallakurichi-606202"
"6.","Manalurpet","- do -","RCG","- do -","Thirukoilur","17","Paddy, Groundnut, 
Cumbu","04153-
32234","Nil","RMC, T.V.Malai Rd.,  
Manalurpet-605751"
"7.","Marakkanam","- do -","MCG","- do -","Tindivanam","36","Paddy, Groundnut, 
Gingili, Blackgram","04147-
39245","- do -","RMC, Kakkapalam Rd., PO- 
Marakkanam- 604104"
"8.","Moongilduraipet","- do -","Nil","- do -","Tiruvanna-
malai","45","Paddy, Gingili, 
Groundnut","-","- do -","RMC,  Maind 
Rd.,Vadakeeranur, PO-
Moongithenaipattu-606702"
"9.","Sankarapuram","- do -","RCG, 
MCG","- do -","Chinnasalem","33","Paddy, Groundnut, 
Black gram","04151-
35233","- do -","RMC, Kallakurichi Rd., 
Sangarapuram-606401"
