"Name of district and 
wholesale market","","State 
of 
regu-
lation","Go-     
down    
faci-    
lities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"4.","DHARMAPURI 
(14)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Bargur","RPM","Nil","Nil","Jolarpet","25","Coconut, G.nut, Tamarind","Nil","Nil","Main Road, Bargur"
"2.","Denkanikottai","- do -","- do -","- do -","Hosur","23","Ragi, Horsegram, Gingili, 
Groundnut","- do -","- do -","Nethaji Road, Denkanikottai"
"3.","Dharmapuri","- do -","SFG, 
SWG","PRC","Dharmapuri","2","Tamarind, G.nut, 
Sunflower, Jaggery","260881","Yes","Mathikonpalayam, Dharmapuri"
"4.","Harur","- do -","SFG, 
MCG","Nil","Morappur","14","Cotton, G.nut, Horsegram, 
Avarai","22217","- do -","Tirupathur Road, Harur"
"5.","Hosur","- do -","- do -","- do -","Hosur","2","Ragi, Vegetables, 
Horsegram, G.nut","Nil","Nil","Taluk Office Road, Hosur"
"6.","Kaveripattinam","- do -","- do -","- do -","Dharmapuri","35","Gingelly, G.nut, Coconut, 
Paddy","- do -","- do -","Main Road, Kaveripattinam"
"7.","Krishnagiri","- do -","SFG, 
MCG","PRC","- do -","45","Tamarind, G.nut, Coconut, 
Ragi","36219","Yes","Amsa Hussain Sahib Stret, 
Krishnagiri"
"8.","Palacode","- do -","Nil","Nil","Palacode","1","Coconut, G.nut, Paddy, 
Jaggery","Nil","Nil","Main Road, Palacode"
"9.","Papparapatti","- do -","- do -","- do -","- do -","10","Cotton, Tamarind, G.nut, 
Jaggery","- do -","- do -","Main Road, Papparapatti"
"10.","Pappireddipatti","- do -","- do -","- do -","Bommidi","15","Coconut, Tapioca, Cotton, 
Paddy","- do -","- do -","Dharmapuri Main Road, 
Pappireddipatti"
"11.","Pennagaram","- do -","- do -","- do -","Dharmapuri","28","Cotton, G.nut, Horsegram, 
Avarai","- do -","- do -","Tasarahalli Road, Pennagaram"
"12.","Pochampalli","- do -","RCG, 
SFG","- do -","Thasampatti","10","Cotton, G.nut, Coconut, 
Grams","52323","Yes","Tirupathur Road, Pochampalli"
"13.","Rayakottai","- do -","Nil","- do -","Rayakottai","1","Ragi, Vegetables, 
Tamarind, G.nut","Nil","Nil","Dharnmapuri Main Road, 
Rayakottai"
"14.","Uttangarai","- do -","RCG, 
SFG","- do -","Samalpatti","8","Cotton, G.nut, Horsegram, 
Avarai","22073","Yes","Cuddalore Main Road, 
Uttangarai"
