"Name of district and 
wholesale market","","State 
of 
regu-
lation","Go-     
down    
faci-    
lities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"3.","COIMBATORE 
(21)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"10.","Negamam","RPM","MCG","Nil","Pollachi","19","Coconut, Maize, 
Jowar, Bengalgram","Nil","Nil","Dharampuram Road,             
Negamam-642120"
"11.","Peethappamaptti","- do -","MCG, 
RCG","- do -","Udumalpet","18","Maize, Paddy, 
Coconut, Bengalgram","- do -","- do -","Dharampuram Rd.,       
Peethappampattil-642205"
"12.","Palladam","- do -","MCG, 
RCG","- do -","Tirupur","20","Maize, Tobacco, 
Jowar, Bajra","04255-
523062","Yes","Mangalore Road, Palladam- 641664"
"13.","Pollachi","- do -","MCG","- do -","Pollachi","2","Coconut, Bengal 
gram, Cotton, Maize","04259-
226032","Nil","Meenkarai road, Pollachi-642001"
"14.","- do -","NRM","PSG","- do -","- do -","2","Onion, Small Onion","04259-
226291","- do -","Near Mani’s Hotel, Raja Mill Road, 
Pollachi-642001"
"15.","- do -","- do -","Nil","- do -","- do -","2","Cattle","Nil","- do -","Market Road, Pollachi-642001"
"16.","Pongalur","RPM","MCG, 
RCG","- do -","Tirupur","25","Maize, Paddy, 
Tobacco, Coconut","- do -","- do -","Trichy Road, Pongalur-641667"
"17.","Senjeri","- do -","- do -","- do -","Udmalpet","30","Maize, Paddy, 
Coconut, Turmeric","- do -","- do -","Senjeri (Post), Sultanpettai-641661"
"18.","Sulur","- do -","- do -","- do -","Sulur","4","Cotton, Maize, 
Coconut, Jowar","0422-
687411","- do -","Kanagayampalayam, Sulur-641401"
"19.","Tirupur","- do -","- do -","- do -","Tirupur","2","Cotton, Bengal gram, 
Cholam, Maize","0421-
712141","Yes","Kamaraj Road, Tirupur-641604"
"20.","Thondamuthur","- do -","- do -","- do -","Coimbatore","14","Maize, Coconut,  
Paddy, Turmeric","0422-
617942","- do -","Kulathupalayam,       
Thondamuthur-641109"
"21.","Udumalpet","- do -","- do -","- do -","Udumalpet","2","Maize, Bajra, 
Coconut, Bengal gram","04252-
223138","- do -","Pollachi Road, Udumalpet-642126"
