"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown     
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"28.","VILLUPURAM 
(17)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"10.","Thirukoilur","RPM","RCG, MCG","Nil","Thirukoilure","1","Paddy, 
Groundnut, 
Cumbu, Ragi","04153-
24223","Nil","RMC, Kamaraj Rd., 
Arakandanallur-605752"
"11.","Thiruvennaina-
llur","- do -","Nil","- do -","Ulundurpet","22","Paddy, Cumbu, 
Ragi","04153-
34237","- do -","RMC,                     
Thiruvennainallur-607203"
"12.","Thiyagdurgam","- do -","RCG, MCG","- do -","Ulundurpet","25","Paddy, Sugarcane, 
Jaggery, Cumbu","04151-
33234","- do -","RMC, Thirukoilur Rd., 
Thiyagadurugam, Kallakurichi 
TK.-606206"
"13.","Tindivanam","- do -","- do -","- do -","Tindivanam","5","G.nut, Gingili, 
Paddy, Cotton","04147-
22019","- do -","RMC, Gingee Main Rd., 
Tindivanam-604001"
"14.","Ulundurpet","- do -","- do -","- do -","Ulundurpet","2.5","Paddy, G.nut, 
Gingili. Black 
gram, Green 
gram, Cumbu, 
Ragi","04149-
22231","- do -","RMC, Panruti Rd.,       
Ulundurpet-606107"
"15.","Valathi","- do -","Nil","- do -","Tiruvanna-
malai","40","Paddy, 
Groundnut, 
Gingili","Nil","- do -","RMC, Avlurpet Rd., Valathi & 
Post, Gingee-604208"
"16.","Vikkiravandi","- do -","MCG","- do -","Vikkiravandi","2","Paddy, 
Groundnut, 
Cotton, Cumbu, 
Ragi","04146-
33373","- do -","RMC, GST Rd.,        
Vikkiravandi-605652"
"17.","Villupuram","- do -","RCG, MCG, 
CWG, SWG","- do -","Villupuram 
Jn.","1.5","Paddy, Cotton, 
Groundnut, 
Gingili","04146-
22075","Yes","RMC, Nehruji Rd.,       
Villupuram-605602"
