"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown   
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"25.","TIRUNELVELI    
(12)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Alangulam","RPM","PSG","Nil","Ambasamudra
m","15","Paddy, Cotton, 
Chillies, 
Groundnut","Nil","Nil","Ambasamudram Rd.,     
Alangulam-627851"
"2.","Ambasamudram","- do -","MCG, 
RCG","- do -","- do -","2","Paddy, Cotton, 
Groundnut","04634-
450273","- do -","Anna Nagar,           
Ambasamdram-627401"
"3.","Kadayanallur","- do -","MCG","- do -","Kadayanallur","2","Paddy, Groundnut, 
Chillies","Nil","- do -","Tenkasi Rd. Opp.Electricity 
Board, Kadayannallur-627751"
"4.","Pavoorchatram","- do -","- do -","- do -","Pavoorchatram","1","Chillies, Paddy, 
Groundnut, Cotton","04633-
350235","Yes","Kadayam Road,      
Pavoorchatram-627808"
"5.","Thisayanvilai","- do -","PSG","- do -","Vallioor","30","Cotton, Groundnut, 
Chillies","Nil","Nil","Main Bazar, Thiyasanvilai-
627657"
"6.","Tirunelveli","- do -","MCG, 
RCG","- do -","Tirunelveli","3","Chillies, Paddy, 
Groundnut, Cotton","0462-
334059","Yes","Rajapalayam Rd., Ramaianpatti, 
Thatchanallur (via)-627358"
"7.","Vallioor","- do -","- do -","- do -","Vallioor","1","- do -","Nil","Nil","315, Nanguneri Rd.,          
Vallioor-627117"
"8.","Surandai","RSM","PSG","- do -","Pavoochatram","10","Chillies","- do -","- do -","6-7-39 B, Senthamaram Road, 
Surandai-627859"
"9.","Sankarankovil","RPM","MCG, 
RCG","- do -","Sankarankovil","1","Chillies, Cotton, 
G.nut, Blackgram","04636-
422250","Yes","8, Rajapalayam Rd., 
Sankarankovil-56"
"10.","Sivagiri","- do -","PSG","- do -","Rajapalayam","20","Cotton, Paddy, 
Groundnut","Nil","Nil","55, Tenkasi Rd., Sivagiri-
627757"
"11.","Tenkasi","- do -","MCG, 
RCG","- do -","Tenkasi","1","Chillies, Paddy, 
Cotton, Groundnut","04633-
380780","- do -","Madurai Rd., Tenkasi-627811"
"12.","Thirvenkadam","- do -","PSG","- do -","Sankarankovil","15","Cotton, Chillies, 
Corriander, G.nut","Nil","- do -","16, Main Bazar,           
Thirvengadam-627718"
