"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown   
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"5.","DINDIGUL 
(8)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Batlagundu","RPM","MCG, 
RCG","Nil","Kodaikanal 
Rd.","20","Paddy, Coconut,Cotton, 
Groundnut","Nil","Nil","Kanavaipatti Road,  
Batlagundu-624202"
"2.","Dindigul","- do -","- do -","- do -","Dindigul","3","G.nut, Cotton, Onion. 
Paddy, Maize","0451-
400959","Yes","Ponmandhurai Road,  
Bessnbur-624002"
"3.","Gopalpatti","- do -","- do -","- do -","- do -","24","Tamarind, Coconut, 
Paddy, Groundnut","Nil","Nil","Main Road, Gopalpatti, 
Vembarpatti S.O.-624308"
"4.","Natham","- do -","- do -","- do -","- do -","36","Tamarind, Coconut, 
Cotton, Groundnut","04544-
44441","- do -","Gandhi Nagar Road,     
Natham-624401"
"5.","Oddanchatram","- do -","- do -","- do -","Oddanchatram","1","Maize, Groundnut, 
Onion","04553-
40358","Yes","Naganampatti Bye-pass Road, 
Oddanchatram-624619"
"6.","Palani","- do -","- do -","- do -","Palani","2","Paddy, Coconut, G.nut, 
Maize, Cotton","04545-
50677","- do -","Dindigul Road, Palani-624601"
"7.","Vadamadurai","- do -","MCG","- do -","Vadamadurai","1","Coconut, Tamarind, 
Paddy, Groundnut","Nil","Nil","Railway Feeder Road, 
Vadamadurai-624802"
"8.","Vedachandur","- do -","- do -","- do -","Dindigul","32","Chillies, Tobacco, 
Cotton, Groundnut","- do -","- do -","Shenbagam Street, Nethaji 
Nagar, Vedachandur-624710"
