"Name of district and 
wholesale market","","State 
of 
regu-
lation","Go-down     
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"17.","SALEM         
(13)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Attur","RPM","SFG, MCG, 
CSC","Nil","Attur","1","Paddy, Gingili,    
G. nut, Cotton","640821","Yes","Grain Bazar, Pudupettai, Attur"
"2.","Gangavalli","- do -","Nil","- do -","- do -","50","Paddy, Groundnut, 
Cotton, Bajra","Nil","Nil","Nadu Veethi, Gangavalli"
"3.","Kadayampatti","- do -","- do -","- do -","Salem","27","Paddy, Groundnut, 
Jaggery, Cotton","- do -","- do -","Sandai Pettai, Kadayampatti"
"4.","Karumanthurai","NRM","- do -","- do -","Attur","32","Groundnut, 
Tapioca,","- do -","- do -","Main Road, Karumanthurai"
"5.","Kolathur","RPM","- do -","- do -","Mettur","12","Chillies, Brinjal, 
G.nut, Cotton","351576","- do -","Main Road, Kilathur"
"6.","Konganapuram","- do -","CSC","- do -","Salem","15","Chillies, Cotton, 
G.nut, Bajra","665562","Yes","3-1/17,  Sankagiri Road, 
Konganapuram"
"7.","Mecheri","- do -","Nil","- do -","Mecheri","1","- do -","Nil","Nil","Theradi Veethi, Mecheri"
"8.","Omalur","- do -","CSC","- do -","Omalur","1","Cotton, Groundnut, 
Castor, Paddy","- do -","- do -","Anna Nagar, Dharmapuri, Main 
Road,Omalur"
"9.","Salem","- do -","SFG, MCG, 
CSC, SWG, 
FCG","PRC","Salem","1","Paddy, Groundnut, 
Jaggery, Cotton","331233","Yes","Meyyanur Road,Salem"
"10.","Sankagiri","- do -","Nil","Nil","Sankagiri","2","Paddy, Groundnut, 
Cotton, Bajra","641303","- do -","Kozhikkalanatham Road, 
Sankagiri"
"11.","Thalaivasal","- do -","- do -","- do -","Thalaivasal","2","Paddy, Brinjal, 
Cotton, Tomato","Nil","Nil","Cuddalore Main Road, Thalaivasal"
"12.","Thammampatti","- do -","- do -","- do -","Attur","28","Paddy, Groundnut, 
Cotton, Bajra","- do -","- do -","Trichy Main Road, Thammampatti"
"13.","Vazhapadi","- do -","- do -","- do -","Vazhapadi","1","Paddy, Groundnut, 
Jaggery, Tomato","- do -","- do -","Salem-Attur Main Road, 
Vazhapadi"
