"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown     
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance    
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"19.","TIRUVALLUR  
(8)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Gummidipoondi","RPM","CSC","Nil","Gummidipoondi","2","Paddy","Nil","Nil","The Supervior, Regulated Market, 
176, GNT Rd.,       
Gummidipoondi-601201"
"2.","Nasarathpet","- do -","- do -","- do -","Avadi","16","- do -","- do -","- do -","128, Gandhi Rd.,Nasrathpet, 
Poonamallee-602103"
"3.","Pallipattu","- do -","- do -","- do -","Sholingur","20","Paddy, Jaggery","- do -","- do -","Nagari Rd., Pallipattu-631207"
"4.","Ponneri","- do -","- do -","- do -","Ponneri","2","Paddy","- do -","- do -","50, Dhandapani Nadar St.,    
Ponneri-601204"
"5.","Sengundram","- do -","CSC, MCG","- do -","Ambattur","12","- do -","- do -","Yes","Behind Buddha Temple, 
Padiyanallur, Red Hills-600052"
"6.","Tiruttani","- do -","CSC, RCG, 
MCG","- do -","Tiruttani","5","Paddy, Jaggery, 
Bajra, Gingili","- do -","- do -","Near PTC Depot, Arakkonam 
Rd.,   Tiruttani-631209"
"7.","Tiruvallur","- do -","CSG, RCG, 
MCG, 
SWG","- do -","Tiruvallur","4","Paddy, 
Groundnut, Bajra","- do -","- do -","Toll Gate, Poondi Rd.,     
Tiruvallur-602001"
"8.","Uthukottai","- do -","MCG, 
RCG, CSC","- do -","- do -","30","- do -","- do -","Nil","Near Kothandaraman School,      
Uthukottai-602026"
