"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown     
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"6.","ERODE     
(34)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"22.","Moolanur","RPM","MCG, CSC","Nil","Palani","53","Cotton, Dry Chillies, 
Drumstick, Jowar","04202-
77226","Yes","185, Dharapuram Rd., 
Moolannur-638106"
"23.","Modakurichi","RSM","CSC, PSG","- do -","Erode","18","Coconut, Gingili, Jowar, 
Maize","Nil","Nil","Modakurichi Sub.market, Erode 
Taluk-638104"
"24.","Muthur","RPM","MCG, CSC","- do -","- do -","38","Coconut, Gingili, Jowar, 
Groundnut","- do -","Yes","Chnnamuthur Rd, 
Opp.Varasandai Muthur"
"25.","Mylampady","- do -","CSC, MCG","- do -","- do -","28","Gingili, G.nut, Jowar, 
Bajra","- do -","- do -","3/92, Velli Tirupur Rd., 
Mylampady-638302"
"26.","Nambiyur","- do -","CSC","- do -","- do -","60","G.nut, Tobacco, Jowar, 
Cotton","- do -","- do -","Kovai Road, Nambiyur-638458"
"27.","Perundurai","- do -","MCG, CSC","- do -","Perundurai","5","Cotton, Coconut, Jowar, 
Paddy","04294-
20512","- do -","Bangalow St., Balakrishna 
complex, Perundurai-638052"
"28.","Punjaipuli- 
yampatti","- do -","MCG, CSC","- do -","Coimbatore","40","G.nut, Cotton, Tobacco, 
Dry Chillies","04295-
67085","- do -","Sathi Main Rd., Nehur Nagar, 
Punjapuliyampatti-638459"
"29.","Sathiyaman- 
galam","- do -","- do -","- do -","Erode","65","Cotton, Maize, Tobacco, 
Coconut","04205-
20436","- do -","Mettupalayam Rd., 
Rangasamudram, 
Sathiyamangalam-638402"
"30.","Sivagiri","- do -","- do -","- do -","Kodumudi","15","Gingili, G.nut, Maize, 
Coconut","04204-
40380","- do -","Amman Koil, Sivagiri-638109"
"31.","Thalavadi","- do -","- do -","- do -","Chamraj 
Nagar","20","Cotton, Jaggery, Coconut, 
Jowar","04295-
45241","- do -","Hosur Road, Thalavadi-638461"
"32.","Vellankoil","- do -","- do -","- do -","Erode","43","Cotton, Paddy, Coconut, 
Jowar","Nil","- do -","Siruvallur Rd,            
Vellankoil-638059"
"33.","Vellakoil","- do -","- do -","- do -","- do -","57","Sunflower seeds, Coconut, 
Groundnut, Jowar","04257-
60504","- do -","18, Kovai Road,          
Vellakoil-638111"
"34.","Veppuli","RSM","Nil","- do -","Perundurai","14","Coconut, Cotton","Nil","- do -","Veppuli Sub-Market, 
Kangeyam Rd, Chenni malai, 
Perundurai Taluk-638051"
