"Name of district and 
wholesale market","","State 
of 
regu-
lation","Go-
down     
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"14.","PUDUKKOTTAI 
(9)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Alangudi","RPM","RCG, 
MCG","Nil","Pudukkottai","20","Groundnut, 
Paddy, 
Cashewnut, 
Gingili","4322- 
51262","Nil","The Superitendent, Regulated 
Market, Gandhi Road, 
             
Alangudi-622301"
"2.","Aranthangi","- do -","PSG","- do -","Aranthangi","0.5","Coconut, Paddy, 
G.nut, Gingili","4371- 
20347","- do -","The Superintendent, Regulated 
Market, Karaikudi Rd.,        
Aranthangi-614616"
"3.","Avadaiyarkovil","- do -","SFG 
(TNCSC)","- do -","- do -","14","Coconut, Paddy, 
Gingili","Nil","- do -","The Superintendent, Regulated 
Market, Main Rd., 7/113, West 
Street, Avudaiyur Koil-614618"
"4.","Gandharvakottai","- do -","Nil","- do -","Pudukkottai","34","Cashewnut, 
Groundnut","04322
- 
75723","- do -","The Supervisor, Regulated Market, 
Main Rd., Gandharvakottai-613301"
"5.","Illupur","- do -","RCG, 
MCG","- do -","- do -","28","Cotton, Paddy, 
Groundnut, 
Gingili","Nil","- do -","The Supervisor, Regulated Market, 
Melappatti, Illupur-622102"
"6.","Karambakudi","- do -","Nil","- do -","- do -","25","Paddy, Pulses, 
Groundnut","- do -","- do -","The Supervisor, Regulated Market, 
Pudukkottai Rd.,           
Karambakkudi-622302"
"7.","Keeramangalam","- do -","- do -","- do -","Peraurani","10","Paddy, Chillies, 
G.nut, Tamarind","- do -","- do -","The Supervisor, Regulated Market, 
Merpanaikkadu Rd.,       
Keeramangalam-614624"
"8.","Keeranur","- do -","CSC","PRC","Keeranur","0.5","Groundnut, 
Paddy, Cotton, 
Gingili","- do -","- do -","The Supervisor, Regulated Market, 
41, North Car Street, 
              
Keeranur-622502"
"9.","Ponnamaravavathi","- do -","Nil","Nil","Thirumayam","30","Cotton, Coconut, 
Paddy, Groundnut","- do -","- do -","The Supervisor, Regulated Market, 
34, Perumalkoil Street,     
Ponnamaravathi-622407"
