"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown     
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"6.","ERODE     
(34)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Alangiyam","RPM","MCG","Nil","Palani","35","Jaggery, Cotton, Maize, 
Sunflower seeds","04258-
57366","Yes","Palani Rd., Alangiyam-638651"
"2.","Andhiyur","- do -","CSC, MCG","- do -","Erode","37","Groundnut, Cotton, 
Gingili, Castorseeds","04256-
60265","- do -","Main Road, Andhiyur-638501"
"3.","Arichalur","RSM","CSC","- do -","- do -","18","Coconut","Nil","Nil","Arachalur, Sub-market, Behind 
Polic Station, Arachalur-
638101"
"4.","Avalpoondurai","RPM","CSC, MCG","- do -","- do -","13","Copra, Coconut, Gingili, 
Cotton","0424-
31279","Yes","Thiyyampoondurai,   
Avalpoondurai-638115"
"5.","Bhavani","- do -","CSC, SWG","- do -","- do -","18","Tobacco, Paddy, 
Groundnut, Gingili","Nil","Nil","Varanapuram, Bhavani-638302"
"6.","Boothapadi","- do -","CSC","- do -","- do -","40","Cotton, Paddy, Groundnut, 
Gingili","04236-
27070","Yes","Boothapadi-638311"
"7.","Chithode","- do -","PSG","- do -","- do -","11","Jaggery, Paddy, Tobacco, 
Dry Chillies","0424-
533223","- do -","184, Bhavani Main Rd.,     
Chithode-638102"
"8.","Chithode","NRM","- do -","- do -","- do -","11","Jaggery","0424-
533308","Nil","Chithode Jaggery Merchant’s 
Association, Chithode-638102"
"9.","Dharapuram","RPM","SWG, CSC","- do -","Palani","35","Jowar, Bajra, Ragi, Paddy","04258-
20323","Yes","347, Chinnakadai Street, 
Dharapuram-638656"
"10.","Erode","- do -","MCG, CWG, 
CSC, PSG","- do -","Erode","3","Turmeric, Groundnut, 
Cotton, Maize","0424-
212113","- do -","6, First Gandhipuram, 
Karungalpalayam, Erode-
638003"
"11.","Erode","NRM","PSG","- do -","- do -","3","Turmeric","0424-
212253","Nil","Erode Turmeric Merchants & 
Godown Keeper’s Association,  
Park Rd., Erode-638003"
