"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"2.","BADGAM 
(1)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Fruit & Vegetable 
Market, Chrari-
Sharief.","NRM","NIL","NIL","Jammu","330","Apple, Almonds 
Knol Khol, 
Chillies","NIL","NIL","Area Marketing Officer, 
Deptt. of  Horticulture 
(Planning & Marketing)  
Chrari-Sharief, Distt. Badgam."
"3.","BARAMULLA 
             (2)","","","","","","","","",""
"1.","Fruit & Vegetable 
Market, Baramulla.","NRM","SPG","NIL","Jammu","350","Apple, Walnut 
Pear, Apricot","NIL","NIL","Area Marketing Officer, 
Deptt. of J.& K. Horticulture, 
Sopore."
"2.","Fruit & Vegetable 
Market, Nowpora 
Sopore.","RPM","SFG","NIL","- do -","350","Apple, Walnut 
Pear, Cherry","01954-
22437","NIL","Area Marketing Officer, 
Deptt. of J.& K. Hhorticulture 
(Planning & Marketing) ,    
J.& K. Govt., F. & V. Market, 
Nowpora, Sopore."
"4.","DODA            
(1)","","","","","","","","",""
"1.","Fruit & Vegetable 
Market, Batote Doda","NRM","SFG","NIL","Jammu","150","Apple, Tomato, 
Potato, 
Mushroom","NIL","NIL","Area Marketing Officer, 
Deptt. of  Horticulture 
(Planning & Marketing),     
J.& K. Govt., Udhampur."
