"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown   
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"10.","KOLKATA 
(14)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"8.","Kolay Market 
(Nafar Babu 
Bazar)","NRM","PSG","Nil","Sealdah","0.5","Betel leaves & 
Vegetables, 
Tomato, Beans etc.","2275088, 
2465263","Yes","6-B, Sir Debo Prasad Row, 
Opp.Natratan Sircar Hospital, 
Kolkata-14, 144, BB Gangulish, 
Kolkata-12"
"9.","Mallik Ghat 
Flower 
Market","- do -","- do -","- do -","Howrah","0.5","Tube rose, Rose, 
Marrigold leaves, 
Tulsi, Bel leaves","2337871, 
2332224","- do -","Mallik Ghat Phul Bikreta 
Samittee, No.17, Strand Bank Rd. 
Kolkata-7"
"10.","Mechhua 
Bazar","- do -","- do -","- do -","- do -","2","Mangoes, Sweet lime, 
Banana, Pomegranate","2338390, 
2391680","- do -","Kolkata Fruits Market 
Association, A, Ballau Das Street, 
Kolkata-7  (Ist floor), South 
Bengal Fruits Merchants 
Association, 8, Rama Lochan 
Mallik St. Kolkata-7"
"11.","New Market 
(SS Hogg 
Market)","- do -","- do -","- do -","Sealdah","1.5","Poultry products, Eggs, 
Birds, Pork, Beef, 
Vegetables","2520050","- do -","Shopkeeper’s Welfare 
Association, Mise-II, A/1-98-99, 
Cream Range, SS Hogg Market, 
Kolkata-87"
"12.","Nutan Bazar","- do -","- do -","- do -","- do -","4.5","Lemon, Sugarcane, 
Fruits, Vegetables","5558395","- do -","The Trustee Estate, Raja Rajendra 
Mallik Ray Bahadur Marvel 
Palace, Muktaram Babu 
St.Kolkata-7"
"13.","Orphanganj 
Market","- do -","- do -","- do -","- do -","2.5","Goats & Sheeps","4595038","- do -","Orphanganj Commission Agents 
Association, No.3, Nitya Ghosh 
Street, Kiddspore, Kolkata-23"
"14.","Padma Pukur 
Market","- do -","- do -","- do -","- do -","2","Hides & Skins","2461792","- do -","Vidya Sagar Manch, Private 
Trader’s Association, P-85/3, CIT 
Rd, Kolkata-14"
