"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown    
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"15.","NADIA 
(50)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"33.","* Madavpur","RSM","-","Nil","-","-","-","-","-","-"
"34.","Mahish 
Bathan","NRM","PSG","- do -","Krishnanagar 
City Jn.","75","Jute, Betel leaf, Cauliflower, Banana","Nil","Nil","PO-Manish Bathan"
"35.","Majdia","NRM","PSG","Nil","Majdia","0","Paddy, Tomato, Pumpkin, 
Bittergourd","- do -","- do -","PO-Majdia"
"36.","Matiari","- do -","Nil","- do -","Debagram","19","Rice, Wheat, Banana, Brinjal","- do -","- do -","PO-Matiari"
"37.","Mira 
Pallassey","- do -","PSG","- do -","Palassey","5","Jute, Rice, Wheat, Pulses","- do -","- do -","PO-Mira Palassey"
"38.","Mohanpur","- do -","Nil","- do -","Kanchrapara","7","Rice, Banana, Betel leaf, Cabbage","- do -","- do -","PO-Bara Jaguli"
"39.","Nabadwip 
Jute Market","- do -","PSG","- do -","Nabadwip 
Dham","2","Jute","- do -","For Jute","PO-Nabadwip"
"40.","Nagar Ukhra","- do -","Nil","CSC","Kanchrapara","24","Betel leaf, Potato, Orange, Banana","- do -","Nil","PO-Nagarukhra"
"41.","Nazirpur","- do -","- do -","Nil","Krishnanagar 
City Jn.","67","Paddy, Jute, Brinjal, Betel leaf","- do -","- do -","PO-Tehatta"
"42.","Palasipara","NRM","PSG","- do -","Palassey","18","Jute, Paddy, Banana, Betel leaf","- do -","- do -","PO-Palashipara"
"43.","Patikabari","NRM","- do -","- do -","Bethuadahari","6","Brinjal, Cauliflower, Banana, Rice","- do -","- do -","PO-Patikabari"
"44.","Rajar Bazar","- do -","- do -","- do -","Nabadwip 
Dham","2.5","Rice, Potato, Cauliflowerr, Brinjal","- do -","- do -","PO-Nabadwip"
"45.","Ranaghat","- do -","PSG","- do -","Ranaghat","0.5","Jute, Rice, Pulses, Vegetables","- do -","Yes","PO-Ranaghat"
"46.","Saguna Bazar","- do -","Nil","- do -","Madanpur","3","Rice, Betel leaf, Tomato, Wheat","- do -","Nil","PO-Saguna"
"47.","Saheb Nagar","- do -","- do -","- do -","Palassey","8","Banana, Cabbage, Fish, Bottlegourd","- do -","- do -","PO-Saheb Nagar"
"48.","Shantipur","- do -","PSG","- do -","Shantipur","0.5","Jute, Rice, Wheat, Pulses","- do -","- do -","PO-Shantipur"
"49.","Shikarpur","RSM","Nil","- do -","Krishnanagar 
City Jn.","90","Betel leaf, Cauliflower, Brinjal Rice","- do -","- do -","PO-Shikarpur"
"50.","Tehatta","NRM","PSG","- do -","Debagram","28","Jute, Rice, Cauliflower, Banana","- do -","- do -","PO-Tehatta"
