"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown   
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"12.","MIDNAPUR 
EAST 
(50)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Brajalal chak","NRM","PSG","Nil","Bardabash","9","Rice, Potato, Veg., Fish","Nil","Nil","Vill-Brajalal Chak, PO-
Dakshin Kasim Chak"
"2.","Bolaiponda","- do -","- do -","- do -","Tamluk","30","Paddy, Rice, Vegetable","- do -","- do -","Vill & PO- Bolaiponda"
"3.","Balighai","- do -","- do -","- do -","Belda","61","Paddy, Rice, Veg., 
Watermelon, Dry fish,","- do -","- do -","Vill-Mallikpur, PO-
Balighai"
"4.","Chaitanyapur","- do -","- do -","- do -","Bardabash","2","Potato, Rice, Vegetable, Fish","- do -","- do -","Vill & PO-Chaitanyapur"
"5.","Chandrakona","RPM","- do -","PRC, 
CSC","Chandrakona 
Rd.","79","Potato, Paddy, Gingili, 
Mustard","03225-
66132","- do -","At & PO-Chandrakona 
Town"
"6.","Contai","- do -","PSG, 
CSC","Nil","Belda","61","Potato, Rice, Dry chillies, 
Cashewnut, Fish, Cattle,","Nil","- do -","PO & At- Contai"
"7.","Daspur","NRM","PSG","PRC","Panokura","25","Green veg., Jute, Paddy, 
Potato","- do -","- do -","Vill. & PO-Daspur"
"8.","Dudhkumra","- do -","- do -","Nil","Kolaghat","15","Jute, Vegetable, Paddy, 
Potato","- do -","- do -","Vill & PO-Dhudhkumra"
"9.","Durgachak","RSM","- do -","- do -","Durgachak","2","Potato, Veg, Rice & Fish","- do -","- do -","Vill & PO-Durgachak"
"10.","Egra","- do -","PSG, 
CSC","- do -","Belda","34","Paddy, Rice, Betel leaves, 
Fish","- do -","- do -","Vill & PO-Egra"
"11.","Geonkhali","NRM","PSG","- do -","Satisalt","7","Potato, Rice, Coconut, Onion","- do -","- do -","Vill-Nalshall, PO-
Geonkhali"
"12.","Ghatal","RSM","PSG, 
CSC","PRC","Panskura","32","Paddy, Rice, Potato, Jute","03225-
56733","- do -","Vill & PO-Ghatal"
"13","Harirampur","NRM","- do -","- do -","- do -","28","Green veg., Potato, Paddy, 
Jute","Nil","- do -","Vill & PO-Harimpur"
"14.","Itaberia","RSM","PSG","- do -","Belda","44","Paddy, Rice, Jute, Vegetable","- do -","- do -","Vill.& PO- Itaberia"
"15.","Janka","NRM","- do -","- do -","Mecheda","58","Paddy, Rice, Betel leaves, 
Vegetable","- do -","- do -","Vill & PO- Janka"
