"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown   
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"4.","COOCH BEHAR 
(54)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"14.","Changra Bandha 
Hat","NRM","PSG","Nil","New 
Moinaguri","21","Tobacco, Jute, Vegetables, 
Mustard","Nil","Nil","Changra Bandha, Cooch 
Behar"
"15.","Chil Khana Hat","RSM","Nil","- do -","New Cooch 
Behar","18","Paddy, Jute, Cattle, Goat","03582-
44279","- do -","RMC, Chil Khana,  
Tufanganj"
"16.","Chourah Hat","- do -","FCG-1, 
SWG-1, 
MCG-1","- do -","Dinhata","1","Jute, Tobacco, Paddy, Rice","Nil","- do -","Chourah, Cooch Behar"
"17.","Chowdhuri Hat","- do -","Nil","- do -","Chowdhuri Hat","1","Jute, Tobacco, Cattle","03581- 
55162","- do -","Chowdhuri Hat, RMC, 
Dinhata"
"18.","Dakliganj Hat","NRM","- do -","- do -","Ghoskadanga","25","Paddy, Jute, Veg., Rice","Nil","- do -","Dakliganj. Cooch Behar"
"19.","DandingG uri Hat","RSM","Nil","Nil","Cooch Behar","5","Paddy, Jute, Tobacco, Veg.","03582-
23135","- do -","Danding Guri, RMC, 
Sadar"
"20.","Dewan","- do -","- do -","- do -","Dewan","0.5","Rice, Jute, Vegetables","- do -","- do -","Dewan Hat, RMC, 
Sadar"
"21.","Dewan Ganj Hat","- do -","- do -","- do -","Hadi Bari","7","Vegetables, Jute, Tomato, 
Tobacco","03584-
63271","- do -","Dewan Ganj, RMC, 
Haldibari"
"22.","Dhalpal Hat","- do -","- do -","- do -","Kamakshyaguri","30","Paddy, Jute, Mustard, 
Pulses","03582-
44279","- do -","Dhalpal"
"23.","Dhapra Hat","NRM","- do -","- do -","New 
Moinaguri","25","Paddy, Jute, Tobacco, Veg.","Nil","- do -","Dhapra, RMC, 
Tufanganj"
"24.","Dodear Hat","RSM","- do -","- do -","New Cooch 
Behar","5","Jute, Cattle, Paddy, Pulses","03582-
23135","- do -","Dodear"
"25.","Garoder Hat","- do -","- do -","- do -","Jorai","4","Paddy, Jute, Tobacco, Veg.","Nil","- do -","Garoder"
"26.","Ghugumari Hat","- do -","- do -","- do -","New Cooch 
Behar","8","- do -","- do -","- do -","Ghugumari, RMC, 
Tufanganj"
"27.","Ghoska Danga 
Hat","- do -","- do -","- do -","Ghoskadanga","0.5","Paddy, Jute, Rice, Pulses","03583-
55274","- do -","Ghoska Danga"
