"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown   
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance 
 
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"4.","COOCH BEHAR 
(54)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"28.","Gosani  Mari Hat","RSM","Nil","Nil","Dinhata","1","Paddy, Jute, Veg., Tobacco","03581-
55162","Nil","Gosani  Mari, Cooch 
Behar"
"29.","Gosair Hat","- do -","- do -","- do -","Ghoskadanga","24","Paddy, Jute, Veg., Goat","03583-
55274","- do -","Gosair, Cooch Behar"
"30.","Haldi Bari Hat","NRM","PSG-1","PRC-1","Haldi Bari","0.5","Tomato, Chillies, Paddy, 
Rice, Jute","03584-
63271","- do -","Haldi Bari RMC, 
Halidibari, Cooch Behar"
"31.","Horiboler Hat","RSM","Nil","Nil","Dinhata","0.5","Paddy, Jute, Tobacco, Veg.","03581-
55162","- do -","Horiboler, Cooch 
Behar"
"32.","Indranath Hat","NRM","- do -","- do -","Ghoskadanga","10","Pulses, Mustard, Rice, 
Vegetables","N.A.","- do -","Indranath, Cooch Behar"
"33.","Jamuldha Hat","- do -","- do -","- do -","New 
Moinaguri","30","Paddy, Jute, Tobacco, 
Cattle","- do -","- do -","Jamuldah, Cooch Behar"
"34.","Khocha Bari Hat","RSM","- do -","- do -","Baneswar","8","Pulses, Mustard, Rice, 
Vegetables","03582-
23135","- do -","Khocha Bari, Cooch 
Behar"
"35.","Madan Ganj Hat","NRM","- do -","- do -","Ghoskadanga","7","- do -","N.A.","- do -","Madan Ganj, Cooch 
Behar"
"36.","Magpala Hat","RSM","- do -","- do -","Nil","Nil","- do -","- do -","- do -","Magpala, Cooch Behar"
"37.","Matha Bhanga 
Hat","RSM","CSC","Nil","New Cooch 
Behar","30","Pulses, Mustard, Tobacco, 
Vegetables","03583-
55274","- do -","Matha Bhanga, Cooch 
Behar"
"38.","Mekhli Ganj Hat","NRM","Nil","- do -","New 
Moinaguri","45","Jute, Tobacco, Rice, 
Vegetables","03584-
55268","- do -","Mekhli Ganj, Cooch 
Behar"
"39.","Mohesher Hat","- do -","- do -","- do -","Ghoskadanga","15","Jute Paddy, Wheat, 
Vegetables","N.A.","- do -","Mohesher, Cooch Behar"
"40.","Nagrur Hat","RSM","- do -","- do -","Jorai","4","Jute Paddy, Vegetables, 
Goat","- do -","- do -","Nagrur, Cooch Behar"
