"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown     
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"6.","DARJEELING 
(12)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Bijanbari","NRM","CSG-1","Nil","Siliguri","30","Orange, Potato, Ginger, 
Brinjal","Nil","Nil","Bijanbari, Darjeeling"
"2.","Chater Hat","RSM","SFG-1","PRC-1","Chater Hat","2","Jute, Paddy, Rice, Onion","- do -","- do -","Chater Hat, Darjeeling"
"3.","Darjeeling","NRM","- do -","Nil","Siliguri Jn.","80","Orange, Pulses, Ginger, 
Potato","- do -","- do -","Municipal Corporation, 
Darjeeling Market, 
Darjeeling"
"4.","Kharibari","- do -","Nil","PRC-1","Batasi","8","Jute, Paddy, Vegetables","- do -","- do -","Kharibari, Darjeeling"
"5.","Kalingpong","RPM","SFG-1","Nil","Siliguri Jn.","70","Cardamom (L), Ginger, 
Squash, Maize","- do -","- do -","Kalingpong, Darjeeling"
"6.","Mallaguri","- do -","- do -","PRC-1","- do -","2.5","Orange, Pineapple, Fish, 
Egg","512637","- do -","Mallguri, Prodhan 
Nagar, Darjeeling"
"7.","Matigara","NRM","Nil","- do -","- do -","6","Jut, Paddy, Cattle","Nil","- do -","Matigara, Darjeeling"
"8.","Mirik Bazar","- do -","CSG-1","Nil","- do -","50","Orange, Ginger, Squash, 
Potato","- do -","- do -","Mirik, Darjeeling"
"9.","Naya Bazar","- do -","SWG-1","PRC-1","Siliguri 
Town Stn.","0.5","Cereals, Pulses, Potato, 
Onion","- do -","- do -","Nayabazar, Darjeeling"
"10.","Pedong","RSM","SFG-1","Nil","Siliguri Jn.","80","Ginger, Orange, Cardamom 
(L)","- do -","- do -","Pedong, Darjeeling"
"11.","Sombari","NRM","Nil","- do -","Malbazar 
Jn.","35","Ginger, Orange, Arecanut","- do -","- do -","Sombari, Darjeeling"
"12.","Sukhia Pukuri","- do -","SFG-1","- do -","Siliguri Jn.","80","Cereals, Pulses, Ginger, 
Potato","- do -","- do -","Sukhiapukuri, 
Darjeeling"
