"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown     
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"18.","SOUTH 24 
PARAGANAS 
(30)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"16.","Joynagar 
Mazilpur Bazar","RSM","PSG","Nil","Joynagar 
Mazilpur","1.5","Rice, Fish","Nil","Nil","PO & PS-Joynagar"
"17.","Joy Gopalpur 
Natun Hat","- do -","- do -","- do -","Canning","30","Chillies, Fish","- do -","- do -","Vill.Joygopalpur Natun Hat, 
PO-Basanti"
"18.","Kakdwip","NRM","PSG","- do -","Kakdwip","30","Chillies, Betel leaves, 
Fish","- do -","- do -","PO & PS- Kakdwip"
"19.","Kellerhat","RSM","PSG","- do -","Dakshin 
Barasat","8","Rice, Potato, Fish","- do -","- do -","PO-Keller Hat, PS- Joynagar"
"20.","Maheshtala 
Market","- do -","- do -","- do -","Ankara","5","Rice, Potato","- do -","- do -","PO-Maheshtala"
"21.","Mathurapur","NRM","- do -","- do -","Mathurapur","0","Rice, Vegetables, 
Puffed rice","- do -","- do -","PO-Mathurapur, PS-Diamond 
Harbour"
"22.","Namkhana","- do -","- do -","- do -","Nischindapur","49","Fish, Betel leaves","- do -","- do -","PO-Namkhana, PS-Kakdwip"
"23.","Pathar Pratima","- do -","- do -","- do -","Lakshmi-
kantapur","50","Rice, Chillies, 
Vegetables, Fish","- do -","- do -","PO-Patharpratima, PS-Kakdwip"
"24.","Poler Hat","RSM","PSG, JCI","- do -","Sonarpur","25","Jute, Rice","- do -","- do -","PO-Polerhat, PS-Sonarpur"
"25.","Raidighi","NRM","PSG","- do -","Lakshmi-
kantapur","24","Chillies, Rice, Betel 
leaves","- do -","- do -","PO-Raidighi"
"26.","Sagar","- do -","- do -","- do -","Nischindapur","50","Chillies, Rice, Fish","- do -","- do -","PO-Sagar, PS-Kakdwip"
"27.","Sarberia","RSM","- do -","- do -","Canning","28","Chillies, Rice","- do -","- do -","PO-Sarberia, PS-Canning"
"28.","Sonakhali","- do -","- do -","- do -","- do -","18","Chillies, Fish","- do -","- do -","PO-Sonakhali"
"29.","Sonarpur 
St.Bazar","- do -","- do -","PRC","Sonarpur","1.10","Rice, Fish","- do -","- do -","PO & PS-Sonarpur"
"30.","Suryapur Ghat 
Bazar","- do -","- do -","- do -","Suryapur","1.15","Rice, Vegetables, Fish","- do -","- do -","PO-Keyatala, PS-Baruipur"
