"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown    
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"15.","NADIA 
(50)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"17.","Debagram","NRM","Nil","Nil","Debagram","0.5","Banana, Cauliflower, Lentil, 
Rice","Nil","Nil","PO-Debagram"
"18.","Dharmada","RSM","PSG","- do -","Dhubulia","8","Rice, Wheat, Tomato, Parwal","- do -","- do -","PO-Dharmada"
"19.","Dhubulia","NRM","- do -","- do -","- do -","1","Rice, Wheat, Jute, Blackgram","- do -","- do -","PO-Dhubulia."
"20.","Dignagar","- do -","- do -","- do -","Dignasar","0","Jute, Rice, Brinjal, Green chillies","- do -","- do -","PO-Dignagar"
"21.","Goari Bazar","- do -","- do -","PRC","Krishnanagar 
City Jn.","2.5","Fish, Rice, Pumpkin, Green 
chillies","- do -","- do -","PO-Krishnanagar"
"22.","Goswami 
Bazar","- do -","- do -","Nil","Nabadwip 
Dham","2.5","Rice, Wheat, Banana, Cabbage","- do -","- do -","PO-Nabadwip"
"23.","* Hogalberia","RSM","-","-","-","-","-","-","-","-"
"24.","Haringhata","- do -","PSG","Nil","Kanchrapara","7","Jute, Rice, Pulses, Vegetable","Nil","Nil","PO-Haringhata"
"25.","Jhikra","NRM","Nil","- do -","- do -","22","Betel leaf, Cabbage, Brinjal, 
Rice","- do -","- do -","PO-Jhikra"
"26.","* Joybangla 
Hat","RSM","-","- do -","-","-","-","-","-","-"
"27.","Kalyani","RPM","Nil","- do -","Kalyani 
Shilpanchal","0.5","-","033-
5808362","Nil","City Centre Bldg., 
PO-Kalyani"
"28.","Karimpur","- do -","MCG, 
PSG","- do -","Krishnanagar 
City Jn.","80","Jute, Betel leaf, Banana, Mustard","03471-
55189","For Jute","PO-Karimpur"
"29.","Khidirpur 
Nutan Bazar","NRM","Nil","- do -","Bethuadahari","0","Jute, Wheat, Blackgram, Sesame","Nil","Nil","PO-Bethuadahari"
"30.","Kulgachhi","- do -","- do -","- do -","Krishnanagar 
City Jn.","10","Pumpkin, Parwal, Bittergourd, 
Green chillies","- do -","- do -","PO-Kulgachhi"
"31.","Krishnanagar","- do -","PSG, 
SWG","- do -","- do -","1","Rice, Jute, Pulses, Wheat","- do -","- do -","PO-Krishnanagar"
"32.","Madanpur","- do -","PSG","- do -","Madanpur","0","Wheat, Cauliflower, Cabbage, 
Betel leaf","- do -","- do -","PO-Madnapur"
