"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown     
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance   
(km)","Commodities arriving 
in the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"18.","SOUTH 24 
PARAGANAS 
(30)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Amtola Hat","RSM","PSG","Nil","Baruipore","16","Rice, Puffed rice, 
Green coconut","Nil","Nil","PO-Amtala, PS-Bishnupur"
"2.","Baruipore 
Kachari Bazar","- do -","- do -","- do -","- do -","1.5","Rice, Fruits, Paddy, 
Fish","- do -","- do -","PO & PS- Baruipur"
"3.","Baruipore 
Puratan Bazar","- do -","PSG, FCG","- do -","- do -","2","Rice, Vegetables, 
Straw, Paddy","- do -","- do -","- do -"
"4.","Basanti","- do -","PSG","- do -","Canning","19","Chillies, Rice","- do -","- do -","PO & PS- Basanti"
"5.","Bhangar","- do -","- do -","- do -","Sonarpur","21","Vegetables, Rice, Fish","- do -","- do -","PO-Sarberia, PS-Canning"
"6.","Bhojer Hat","- do -","- do -","- do -","- do -","16","Vegetables, Rice, 
Potato","- do -","- do -","PO-Bhangar, PS-Sonarpur"
"7.","Canning","- do -","- do -","- do -","Canning","0","Rice, Fish","- do -","- do -","PO & PS-Canning"
"8.","Champahati 
Bazar","- do -","- do -","- do -","Champahati","0","Paddy, Rice","- do -","- do -","PO-Champahati, PS-Sonarpur"
"9.","Chandrewsar","- do -","- do -","- do -","Sonarpur","12","Vegetables, Rice, 
Paddy","- do -","- do -","PO-Bhangar, PS-Sonarpur"
"10.","Dhamakhali","- do -","- do -","- do -","Canning","43","Fish, Vegetables, Rice","- do -","- do -","PO-Sarberia, PS-Canning"
"11.","Dosha hat","- do -","- do -","- do -","Gocharan","5","- do -","- do -","- do -","PO-Dhosa hat, PS-Banipore"
"12.","Diamond 
Harbour","NRM","- do -","- do -","Diamond 
Harbour","1.5","Rice, Potato, Fish","- do -","- do -","PO & PS- Diamond Harbour"
"13.","Garia 
Stn.Bazar","RSM","- do -","- do -","Garia","0.5","- do -","- do -","- do -","PO-Garia, PS-Sonarpur"
"14.","Gosaba","- do -","- do -","- do -","Canning","28","Chillies, Rice","- do -","- do -","PO & PS-Gosaba"
"15.","Jibantala 
Market","- do -","- do -","- do -","Joynagar 
Mazilpur","24","Rice, Fish","- do -","- do -","PO-Jibantala, PS-Joynagar"
