"Name of district 
and wholesale 
market","","State 
of 
regu-
lation","Godown   
facilities","Cold 
storage 
facility","Nearest Railway 
Station","Dis-
tance   
(km)","Commodities arriving in 
the market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal 
address"
"11.","MALDA 
(41)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"31.","Mathurapur","RSM","PSG","Nil","Samsi","29","Rice, Paddy, Wheat, 
Vegetables","Nil","Nil","PO-Manikchak"
"32.","Moyna","NRM","- do -","- do -","Ek Lakhi","25","Rice, Paddy, Jute, 
Vegetables","- do -","- do -","PO-Moyna"
"33.","Nalagola","- do -","Nil","- do -","Bulbul Chandi","7","Rice, Paddy, Jute, Pulses","- do -","- do -","PO-Doulatpur"
"34.","Netaji Market","- do -","PSG","- do -","Malda Town","1","Rice, Pulses, Vegetables, 
Fish","- do -","- do -","PO-Malda"
"35.","Pakua","- do -","Nil","- do -","Bulbul Chandi","3","Rice, Betelleaf, Wheat, 
Pulses","- do -","- do -","PO-Pakua"
"36.","Panchpara","- do -","PSG","- do -","Ek Lakhi","21","Rice, Paddy, Pulses, 
Vegetables","- do -","- do -","PO-Panchpara"
"37.","Popra hat","- do -","- do -","- do -","Malda Town","14","Rice, Paddy, Parwal, Brinjal","- do -","- do -","PO-Popra"
"38.","Sahabajpur","- do -","Nil","- do -","Khaldipur","8","Rice, Paddy, Pulses, 
Vegetables","- do -","- do -","PO-Sahabajpur"
"39.","Samsi","RPM","MCG","M.C 
CS","Samsi","0.5","Cattle, Poultry birds, 
Wheat, Jute","03513-
65262","For Jute","PO-Samsi"
"40","Swarupganj","RSM","PSG","- do -","- do -","23","Brinjal, Pumpkin,           
Bittergourd, Cabbage","Nil","Nil","PO-Swarupganj"
"41.","Tulshiata Hat","- do -","- do -","- do -","Harishchandrapur","7","Wheat, Paddy, Rice, Jute","- do -","- do -","PO-Tulsihata"
